data,Hate,length,laughs,bad_words,misspell
"['brocha', 'calcinha', 'beg']",0,28,0,0,4
"['sabe', 'cor', 'beg']",0,23,0,0,5
"['@fodemal', 'sabe', 'nadar', 'amputa', 'pernas!', 'melhor', 'inválido', 'incompetente.']",1,87,0,1,14
"['sim,', 'fazer', 'ficar', 'twittando', 'entretenimento!']",0,78,0,0,13
"['manda', 'pro', 'amigo', 'franguinha', '-', 'http://bigassmessage.com/2fef80ca9']",0,67,0,0,6
"['feliz', 'homens', 'gostam', 'mulheres', '-', 'http://look-look.tumblr.com/']",1,70,0,0,8
"['aquelas', '130', 'operárias', 'queimadas', 'dentro', 'fábrica', '1857', '@homemdeverdade', '!', 'bundão', 'covarde', 'carater.']",0,134,0,0,22
"['@homemdeverdade', 'vacila', 'assume', 'rapidamente', 'responsabilidade', 'paga', 'erro', 'humor!']",1,92,0,0,12
"['dar', 'risada', 'si', 'mesmo:', '@homemdeverdade', '!', 'rir', 'cagadas', 'alheias', 'melhor', 'ainda', '...']",0,82,0,1,13
"['essa', 'hora', 'sexta', 'feira', '@homemdeverdade', 'vai', 'pra', 'baladinha', 'vagabundo....essa', 'hora', 'demos', 'duas!', 'agora', 'relax...']",1,120,0,1,18
"['@_latinlover_', 'cedemos', 'encanto', 'caímos', 'boca', 'caro!']",0,59,0,1,10
"['fala', 'ai', 'mariquinhas', 'afins....', 'como', 'vai', 'falta', 'culhão', 'resolver', 'qualquer', 'coisinha', '?']",1,92,0,2,15
"['agora', 'sim', '@homemdeverdade', 'pode', 'usar', 'perfume', '-', 'http://www.youtube.com/watch?v=_wx6dp99by']",1,88,0,1,7
"['@_latinlover_', 'perfume', 'pra', 'mão', 'jovem', 'amante.....pra', 'mão.', 'cappice?']",0,64,0,0,7
"['mesmo', 'pedidos,', 'recuso', 'falar', 'bbb!', '@homemdeverdade', 'entra', 'programinha', 'pra', 'ganhar', 'milhão.', 'a', 'gente', 'ganha', 'batalha', 'dia', 'dia!']",1,139,0,0,24
"['fora', 'frangas', 'ali.', 'bombadinhos', 'chiliquentos,', 'gays', 'exploram', 'condições', 'pedaços', 'carne', 'massa', 'carcerária!']",0,131,0,1,21
"['ricky', 'martin!!!!!', 'demorou', 'tanto', 'tempo', 'assim', 'pra', 'assumir', 'pq?', 'tava', 'dando', 'bunda?', 'é?', 'não', 'reprima', 'caralho!', 'literalmente', 'pra', 'vc....']",0,130,0,2,20
"['no', 'futebol,', '#hqeh', 'atacante.', 'acha', 'meio-de-campo', 'coisa', 'veado.']",1,64,0,1,9
"['#hqeh', 'sai', 'mostrando', 'bunda', 'época', 'carnaval.']",1,57,0,1,10
"['#hqeh', 'pergunta', 'esposa/namorada', 'onde', 'quer', 'ir.', 'fala', 'pra', 'onde', 'vão', 'pronto.']",1,87,0,1,15
"['#hqeh', 'acorda', 'cedo', 'pra', 'assistir', 'jogos', 'copa.', '#worldcup']",1,58,0,0,9
"['@brunynhobtc', 'espirito', 'true', 'man!']",0,40,0,0,6
"['pra', 'gosta', 'futebol.', 'foda-se!!!!', 'seu', 'mané', 'alma.']",0,65,0,0,11
"['aliás,', 'pra', 'ver', 'futebol', 'copa', 'vai', 'acompanhar', 'nada', 'próximos', '4', 'anos', 'novo.', 'deixe', 'gosta', 'ver', 'paz!']",0,124,0,0,24
"['frangas', 'plantão', '!', 'eu', 'voltei', '!!!!!', 'chhuuuuupaaaaa']",0,52,0,0,7
"['vc', 'chique', 'benhe\n', '(@ryan_reminho', 'live', 'on', 'http://twitcam.com/11hdu))']",0,68,0,0,8
"['nossa,', 'gosto', 'cameras..', 'rs', '(@ryan_reminho', 'live', 'on', 'http://twitcam.com/11hdu))']",0,82,0,0,9
"['tadinho', 'goby', '\n', '(@ryan_reminho', 'live', 'on', 'http://twitcam.com/11hdu))']",0,73,6,0,8
"['bom,', 'gente,', 'boa', 'twitcam', 'pra', 'todosssss....', 'cheirossss', '(@ryan_reminho', 'live', 'on', 'http://twitcam.com/11hdu))']",0,102,0,0,10
"['@_kcris', 'ouvindo', 'música', 'preciso', 'vc..', 'excelente,', 'linda!', 'foda,', 'pq', 'tô', 'separando.', 'pqp...']",0,88,0,0,14
"['@fcnossamorango', 'excelente', 'post,', 'história', 'tb...', ':)']",0,49,0,0,5
"['rt', '@salvenordeste:', 'obrigado', 'apoio', 'contamos', 'vc', 'divulgação', 'campanha', '#salvealagoas', '#salvepernambuc']",0,129,0,0,20
"['@thaisbza', 'massa,', 'né?', 'pode', 'passar', 'pra', 'frente,', 'claro!', 'cheiros!']",0,67,6,0,9
"['já', 'sentiram', 'q', 'tá', 'tudo', 'errado?', 'q', 'pessoas', 'importantes', 'acabam', 's', 'perdendo', 'erros/inseguranças', 'tuas?', '#foda', 'hora', 'mudar!', 'boas', 'noites!']",0,140,0,1,22
"['@aninha_ebc', 'tá', 'msn????']",0,25,0,0,3
"['@aninha_ebc', 'nossa,', 'ta', 'chiques', 'rs..', 'mtos', 'contatos', 'ta', 'boa?']",0,63,6,0,9
"['@angelicamorango', 'nusssss,', 'magavilha,', 'heinnn.', 'massa', 'promo!']",0,62,0,0,6
"['com', 'h', 'maiúsculo', 'twitter.', 'então', 'sabe', 'deve', 'ter', 'criado', 'perfil.']",0,85,0,1,16
"['não', 'gosta', '""bater', 'papo""', 'msn.', 'ele', 'responde', 'porque', 'outros', 'falam.', 'nem', 'tempo', 'pra', 'frescura.']",1,98,0,0,17
"['não', '""faz', 'unhas""', 'corta', 'tesoura,', 'corta', 'trinco', 'mesmo.']",0,69,0,0,13
"['não', 'usa', 'roupa', 'cor-de-rosa,', 'roxo.']",0,36,0,0,5
"['não', 'faz', 'barba', 'todo', 'dia.']",0,25,0,0,5
"['não', 'gosta', 'fazer', 'compras.', 'faz', 'porque', 'mulher', 'força.']",1,54,0,0,9
"['olha', 'primeiro', 'pros', 'peitos', 'mulheres.']",1,39,0,0,5
"['gosta', 'futebol,', 'cerveja', 'mulheres.']",0,37,0,0,5
"['tem', 'amiga,', 'morre', 'vontade', 'comê-las!']",1,46,0,0,8
"['eu', 'volteiiii', 'agora', 'pra', 'ficarrrr']",0,31,0,0,4
"['convida', 'nui', 'sampa!', 'rt', '@htcolorido', 'vamos', 'p', 'baladinha', 'sampa???', '@fabsramos', '@liviacastrofoto', '@tiaglopes', '@brunomatos', 'luc']",0,132,0,0,20
"['""ninguém', 'chega', 'casa', 'falando', '“mãe,', 'hétero”.', 'então', 'chegar', 'dizer', '“mãe,', 'gay”?”', 'by', '@mariagadu.', '#epront']",0,127,0,1,26
"['@angelicamorango', 'taí..', 'qria', 'picolé', 'carambola.', 'ou', 'jambo.', '#recifefeelings...', 'mas,', 'dia,', 'hj,', 'mto', 'trab.', 'e', 'noite?', '""a', 'solidão', 'fera...""']",0,139,0,1,23
"['oxente!', 'pq?', 'sou', 'tão', 'santa...', 'rs...rt', '@agdabritto', '@docepimenta_sp', 'oooooooooo', 'maluc']",0,83,0,0,10
"['não!', '1', 'coisa', 'ñ', 'elimina', 'outra!', 'rt', '@quase_gay', '@agdabritto', 'ain', 'menina', 'entrevista', 'd', 'emprego', 'semana', 'vem,', 'vou', 'sair', 'prostituição', '#r']",0,140,0,0,24
"['@angelicamorango', 'a', 'pimenta', 'comentada', 'estrevista:', 'http://twitpic.com/1o2bln']",0,78,0,0,7
"['ainda', 'acredito', 'estarei', '#recife', 'dia', '24/07', '#oquartosecreto', '@angelicamorango.', 'serio!', 'saco!', '#boloderolofeeling']",0,131,0,0,17
"['@angelicamorango', 'hj', 'tdo', 'mundo', 'preoc', 'c', 'colega', 'escrit', 'sabia', 'q', 'ido', 'fazer', 'entrevista.', 'eu', 'disfarçando', 'fazendo', 'preocupada!']",0,140,0,0,23
"['não!', 'nasceu', '13.12.1978!', '#acredite!', 'meu', 'apelido', 'infância:', 'maria', 'desastre', 'rt', '@alineborel', 'tá', 'pra', 'nascer', 'pessoa', 'desastrada', 'eu.']",0,140,0,0,23
"['hj', 'vi', '@biacampos12', 'perguntando', 'p', '@angelicamorango', 'tt', 'funciona', 'promoção', 'dona', 'morangorespondendo', 'funciona', '#odiadehoj']",0,139,0,1,20
"['@alineborel', 'é', 'sério.', 'qq', 'dia', 'relato', 'umas', 'boas.', 'sou', 'especialista', 'pós-graduada', 'auto', 'flagelação', 'formei', '""desligamento"":', 'exemplo...']",0,139,0,0,20
"['@alineborel', 'ex:', 'só', 'hj', 'percebi', 'vc', 'promoter', 'comunidade', 'morango.', 'ainda', 'tô', 'tentando', 'descobrir', 'sócia..', '#tofal']",0,132,0,1,21
"['@ana_lethicia', 'aff,', 'tutorial', 'tédio???', '^vê', 'edição', 'vídeo', 'vc', 'entra', 'facul', 'maqui']",0,109,0,0,20
"['@renatuuus', 'q', 'fodas,', 'hein', 'amigo...']",0,33,0,1,4
"['@marlenebicalho', 'é', 'q', 'vc', 'nunca', 'falou', 'comigo', 'madry,', 'então,', 'fiquei', 'triste', 'quase', 'ligando', 'pro', '#falaqueeuteescuto', 'pra', 'pedir', 'oração.', 'agoraestoufeliz']",0,140,0,0,18
"['adoro', 'energia', 'daqui.', 'não', 'gosto', 'lembrar', 'vou', 'trabalhar', 'feriado.', 'mas,', 'gosto', 'ter', 'emprego.', 'então', 'tá', 'ótimo..', 'rs.']",0,124,0,0,21
"['tá', 'doendo', 'simmm,', 'tá', 'doendo', 'mimmmmm...', 'namorada', 'de', 'felipe', 'melo-', 'http://www.youtube.com/watch?v=ajv6yjrekqm']",1,108,0,0,11
"['@marlenebicalho', 'do', 'jeito', 'desastrada,', 'coloco', 'copo', 'água', 'cima', 'tv,', 'fico', 'sem!', '#melhornao', '#oremospranaoor']",0,121,0,0,18
"['@marlenebicalho', 'começou', 'fala', 'escuto!!!', '(assistir', 'dr', 'house', 'dá', 'nisso)']",0,86,8,0,12
"['@marlenebicalho', 'qq', 'dia', 'relato', 'umas.', 'sou', 'pós-graduada', 'auto-flagelação', 'm', 'formei', '""desligamento"".', 'apelido', 'd', 'infancia:', 'maria', 'desastre.']",0,140,0,0,19
"['é,', 'por', 'quê?', 'rt', '@patriciakataki', 'vc', 'deixou..!', 'pq??']",0,54,0,0,11
"['@marlenebicalho', 'bora', 'fazer', 'campeonato,', 'madry?', '...', 'vc', 'podia', 'ser', 'mãe,', 'embora', 'ache', 'idade..', 'snifff', '#saudadedem']",0,138,6,0,19
"['@marlenebicalho', 'ia', 'dar', 'boa', 'noite,', 'mas,', 'vc', 'ja', 'então,', 'boa', 'sexta!']",0,73,6,0,12
"['boa', 'noite,', 'lindinhas', 'noite', 'rs.', '@digna_amada', '@amora_inlove', '@nandas2mari\n@agdabritt']",0,85,0,0,9
"['indo', 'dormir', 'som', 'linda', 'música,', 'crença', 'sim,', 'verdadeiro', 'sempre.', 'http://bit.ly/afkix']",0,118,0,0,22
"['@digna_amada', ';)', 'olha', 'vídeo', 'postei', 'agora...', 'durma', 'bem.', 'cheiros!']",0,70,0,0,12
"['@eikebatista', 'canhão', 'retorno?', 'não', 'fale', 'pro', 'felipe', 'melo,', 'vai', 'anima...', 'boa', 'noite!', '#medofeeling']",0,112,0,0,17
"['@amora_inlove', 'hello,', 'pois', 'é,', 'mas,', 'interagindo...', 'thudhu', 'bom', '?']",0,68,0,0,9
"['@tais_renata', 'nossa,', 'fale,', 'saudade', 'esquisita..']",0,55,0,0,7
"['@amora_inlove', 'tb', 'soninho..', 'eis', 'trabalho', 'amanhã.', 'hj', 'feriado', 'sampa', 'tb', 'trabalho', 'rs', 'affff', 'r']",0,101,0,0,18
"['@htcolorido', 'oi,', 'pssoa..', 'tá', 'morando', 'onde', 'aqui', 'sampa?', '#quenaosejanazlmodeon']",0,76,0,0,9
"['@juhsavignon', 'moita?', '#nuncafui']",0,42,6,0,5
"['@htcolorido', 'tb,', 'aclimação', '#bemnofocodacomidajaponesa', '#ador']",0,62,0,0,5
"['@amora_inlove', 'constituição', '1932.', 'porra,', 'bisavó', 'nascida', '32.', '#quequeeutenhoavercomiss']",0,104,0,0,12
"['@juhsavignon', 'parar.', '#contalogotudoquetenhosanguejorn']",0,66,0,0,4
"['pssoa', 'fina...', 'rt', '@htcolorido', '@docepimenta_sp', 'jardim']",0,57,4,0,6
"['@amora_inlove', 'uma', 'galera', 'reuniu', 'contra', 'governo', 'intransigente', 'vargas.', 'oficialmente', 'min', '800', 'pssoas', 'morreram,', 'cidades', 'bombarde']",0,140,0,0,19
"['até', 'enfim', 'alguém', 'entende', 'nessa', 'life', 'rt', '@lenabahirah', 'ah,', 'gente', 'complicar,', 'sim,', 'vida', 'totalmente', 'previsível', 'ñ', 'graça...']",0,140,0,0,25
"['@paullamirella', 'vc', 'conhece', 'banda', '#thecorrs', '?', '#fikdik', '""runaway"",', '""no', 'frontiers""', '""at', 'your', 'side""..', 'aí', 'vai', '(amomuito)']",0,120,0,0,19
"['@paullamirella', 'vale', 'muito', 'pena..', 'tenho', '02', 'dvds', 'incríveis.', 'se', 'morasse', 'sp', 'faria-te', 'cópia.', '#thecorr']",0,106,0,0,17
"['gente,', 'li', 'piadinhas', 'fodas', 'agora..', 'vou', 'trazer', 'uma,', 'per']",0,55,0,2,8
"['@paullamirella', 'quer', 'dica', 'meio', 'trash', 'pra', 'aumentar', 'galera', 'show?', '#trashquefunciona', '&gt;&gt;', 'bate', 'papo', 'uol', 'salas', 'minas.', 'da', 'divulgada!']",0,145,0,0,22
"['@_kcris', 'não', 'deixe', 'lembranças', 'saudades', 'minarem.', 'enfrente,', 'ouça', 'músicas..', '(essa', 'linda', 'msm).', 'conhece', 'the', 'corrs?']",0,118,0,0,19
"['@agdabritto', 'sei', 'lá,', 'inventei', 'agora..', '#catita']",0,51,6,0,6
"['@marlenebicalho', 'oi,', 'cara-metade', 'desastre', 'mor...', 'dei', 'umas', 'fuçadas', 'hj', 'blog!']",0,79,0,0,11
"['@agdabritto', 'ixi,', 'amiga..', 'marron..', 'marromenos..', 'termino', 'namoro,', 'foda', 'n']",0,73,0,1,9
"['@agdabritto', 'nem', 'eu,', 'amiga..', 'eu.', 'diz:', '#eavidaseg']",0,64,0,0,10
"['@marlenebicalho', 'o', 'blog', 'dilicinha..', 'ja', 'conhecia', 'sim,', 'vou', 'comentar', 'amanha...', 'hj', 'tô', 'bode,', 'sozinha', 'abandonada', 'sampa', 'r']",0,128,0,0,21
"['@marlenebicalho', 'vcs', 'moram', 'onde?', 'eu', 'moro', 'aclimação,', 'perto', 'liberdade,', 'vergueiro,', 'paraíso...']",0,99,0,1,14
"['@marlenebicalho', 'morava', 'jabaquara,', 'comprava', 'açougue', 'massa', 'av', 'sta', 'catarina,', 'lá', 'seleta', 'legumes', 'amava...', 'sniff']",0,137,0,0,22
"['galera,', 'umas', 'fotos', 'pra', 'mostrar', 'terça,', 'sra', '@angelicamorango', 'deu', 'entrevista', 'pra', 'revista', 'vestido', 'micro..', 'querem?']",0,135,0,0,20
"['@marlenebicalho', 'eu', 'amo', 'bairro', 'adivinha?', 'abriu', 'temakeria', 'lado', 'casa', '#falenciafeeling']",0,107,6,0,15
"['as', '03', 'mosqueteiras!', 'a', '@liviacastrofoto', '@fabsramos', 'livraram', 'perguntinhas', 'básicas!', '#vermelhidaonorosto', 'http://twitpic.com/23v5hn']",0,140,0,1,15
"['@isabellataviani', 'ou', 'seja,', 'faltam', '0:55', 'min..', 'r']",0,46,0,0,6
"['pssoas', 'incríveis', 'comem', 'spoletto.', 'rs.', 'http://twitpic.com/23v6gt']",0,72,0,0,9
"['e', 'chamado', 'cãomor', 'junto', 'repórter', 'cara', 'sono...', 'rs.', 'mto', 'legal!', 'http://twitpic.com/23v73c']",0,98,0,0,14
"['@marlenebicalho', 'viu', 'fotos', 'postei?']",0,40,0,0,5
"['vou', 'fazer', 'comidinha', 'pernambucana', 'agora...', 'quer??', ';)']",0,60,0,1,8
"['chega,', 'som', 'imagem', 'dá,', 'né?', 'xerus', '(@suwerner', 'live', 'on', 'http://twitcam.com/14790))']",0,91,0,0,13
