data,Hate_speech,length,laughs,bad_words,misspell
"['@', 'homemdeverdad', 'fal', 'boquet', 'receb', 'rt', '@', 'sarahshoem', 'liberdad', 'signif', 'fal', 'boquet', 'fal', 'clim']",0,132,0,1,0
"['vão', 'com', 'arroz', 'feij', 'fdp', 'fresc', 'caralh']",0,59,0,2,0
"['rt', '@', 'homemdeverdad', 'rt', '@', 'porcoped', 'pra', 'vc', 'desma', 'qdo', 'tir', 'sang', 'cheg', 'plan', 'odontomach', 'via', '@', 'lenaz']",0,138,0,0,1
"['kasab', '@', 'homemdeverdad', 'dir', 'culp', 'fiz', 'projet', 'algum', 'chuv', 'vc', 'pov', 'porc', 'cobr', 'nad']",0,136,0,0,2
"['sobreviv', 'hait', 'miss', '@', 'homemdeverdad']",0,51,0,0,1
"['@', 'mariolem', 'vc', '@', 'homemdeverdad', 'twitt']",1,50,0,0,0
"['vide', 'clip', 'seman']",0,65,0,0,0
"['@', 'homemdeverdad', 'usa', 'twitt', 'pergunt', 'faz', 'tod', 'moment']",0,73,0,0,0
"['clar', 'sim', 'vc', 'ser', 'babac', 'nerd', 'valent', 'red', 'mulh', 'imbecil', 'hipst', 'freak', 'vici', 'celebr']",1,133,0,2,0
"['propósit', '@', 'homemdeverdad', 'vai', 'campu', 'party', 'lug', 'baitol', 'amig', 'real', 'virgem']",1,116,0,0,1
"['@', 'homemdeverdad', 'hom', 'metad']",0,102,0,0,0
"['@', 'homemdeverdad', 'precis', '#', 'lingerieday', 'put', 'par', 'barangasnerd', 'atrás', 'rol', 'virgem', 'pra', 'sit', 'pornô', 'bem', 'melhor']",1,140,0,2,1
"['#', 'campusparty', 'lug', 'dev', 'fed', 'esp', 'azed', 'pass', 'validad', 'menos', 'mulh', 'val', 'tud', 'juaz']",1,128,0,0,1
"['@', 'homemdeverdad', 'viu', '#', 'ipad', 'grit', 'stev', 'mes', '7', '2', 'cervej', '4', 'cop', 'americ', 'porç', 'frit', 'outrad', 'calabr']",0,135,0,0,1
"['hom', 'hom', 'conhec', 'doi', 'cheir', 'mulh', 'bom', 'ruim']",1,68,0,0,0
"['usa', 'camiset', 'mang', 'menos', 'vá', 'malh', 'pratic', 'algum', 'esport']",0,76,0,0,0
"['deu', 'just', 'calç', 'carol', 'mamã']",0,49,0,0,0
"['faz', 'campeonat', 'peid', 'amig']",0,38,0,1,0
"['beb', 'can', 'pur', 'faz', 'caret']",0,32,0,0,0
"['hom', 'hom', 'arrot', 'suc', 'laranj']",1,45,0,0,0
"['palavr', 'dia', 'hom', 'hom', 'diz', 'fragr']",1,57,0,0,0
"['hom', 'hom', 'arrot', 'suc', 'laranj', 'ouv', 'namor']",1,68,0,0,0
"['hom', 'hom', 'com', 'carn', 'peix', 'cois', 'bix']",1,55,0,1,1
"['faz', 'pont', 'qlq', 'cois', 'q', 'der', 'telh', 'jat', 'mij']",0,58,0,1,1
"['lav', 'cuec', 'q', 'acab', 'compr', 'ant', 'us']",0,55,0,0,0
"['hom', 'hom', 'brinc', 'girocópter', 'banh', 'cas', 'sogr']",1,69,0,0,1
"['conhec', 'trê', 'cor', 'azul', 'vermelh', 'amarel']",0,45,0,0,0
"['hom', 'hom', 'com', 'dorit', 'piment', 'gelé', 'extrafort', 'piment', 'guaran', 'ice']",1,90,0,0,3
"['port', '@', 'homemdeverdad', 'rt', '@', 'latinlov', 'massag', 'ego', 'mulh', 'elogi', 'bund', 'peit', 'port', 'faz']",0,135,0,1,0
"['mão', 'hom', 'cal']",1,37,0,0,0
"['hom', 'hom', 'assist', 'fazend']",1,40,0,0,0
"['music', 'kiporés', 'hom', 'hom']",1,48,0,0,1
"['sexochurascocervejadorm', '#', 'carnavalem4palavr']",0,52,0,0,1
"['hom', 'hom', 'not', 'esmalt', 'mulh']",1,49,0,0,0
"['hom', 'hom', 'com', 'beb']",1,33,0,0,0
"['hom', 'hom', 'troc', 'pênil', '1', 'fíg']",1,52,0,1,0
"['broch', 'calc', 'beg']",0,28,0,0,1
"['sab', 'cor', 'beg']",0,23,0,0,0
"['@', 'fodem', 'sab', 'nad', 'amput', 'pern', 'melhor', 'invál', 'incompet']",1,87,0,0,1
"['sim', 'faz', 'fic', 'twit', 'entreten']",0,78,0,0,1
"['mand', 'pro', 'amig', 'frang']",0,67,0,0,0
"['feliz', 'hom', 'gost', 'mulh']",1,70,0,0,0
"['130', 'operár', 'queim', 'dentr', 'fábr', '1857', '@', 'homemdeverdad', 'bund', 'cov', 'carat']",0,134,0,0,0
"['@', 'homemdeverdad', 'vacil', 'assum', 'rapid', 'respons', 'pag', 'err', 'hum']",1,92,0,0,0
"['dar', 'ris', 'si', '@', 'homemdeverdad', 'rir', 'cag', 'alhe', 'melhor', 'aind']",0,82,0,1,0
"['hor', 'sext', 'feir', '@', 'homemdeverdad', 'vai', 'pra', 'bal', 'vagabundo', 'hor', 'dem', 'dua', 'agor', 'relax']",1,120,0,1,2
"['@', 'latinlov', 'ced', 'encant', 'caím', 'boc', 'car']",0,59,0,0,0
"['fal', 'ai', 'maric', 'afim', 'vai', 'falt', 'culh', 'resolv', 'qualqu', 'cois']",1,92,0,2,1
"['agor', 'sim', '@', 'homemdeverdad', 'pod', 'us', 'perfum']",1,88,0,0,0
"['@', 'latinlov', 'perfum', 'pra', 'mão', 'jov', 'amantepr', 'mão', 'capic']",0,64,0,0,2
"['ped', 'recus', 'fal', 'b', '@', 'homemdeverdad', 'entr', 'progr', 'pra', 'ganh', 'milhã', 'gent', 'ganh', 'batalh', 'dia', 'dia']",1,139,0,0,0
"['frang', 'ali', 'bomb', 'chiliquent', 'gay', 'explor', 'cond', 'pedaç', 'carn', 'mass', 'carcerár']",0,131,0,1,4
"['ricky', 'martin', 'demor', 'tant', 'temp', 'assim', 'pra', 'assum', 'pq', 'tav', 'dand', 'bund', 'reprim', 'caralh', 'liter', 'pra', 'vc']",0,130,0,2,0
"['futebol', '#', 'hqeh', 'atac', 'ach', 'meiodecamp', 'cois', 've']",1,64,0,1,1
"['#', 'hqeh', 'sai', 'mostr', 'bund', 'époc', 'carnav']",1,57,0,1,0
"['#', 'hqeh', 'pergunt', 'esposanamor', 'ond', 'qu', 'ir', 'fal', 'pra', 'ond', 'vão', 'pront']",1,87,0,0,1
"['#', 'hqeh', 'acord', 'ced', 'pra', 'assist', 'jog', 'cop', '#', 'worldcup']",1,58,0,0,0
"['@', 'brunynhobtc', 'espirit', 'tru', 'man']",0,40,0,0,0
"['pra', 'gost', 'futebol', 'fodas', 'mané', 'alm']",0,65,0,1,1
"['aliás', 'pra', 'ver', 'futebol', 'cop', 'vai', 'acompanh', 'nad', 'próx', '4', 'ano', 'nov', 'deix', 'gost', 'ver', 'paz']",0,124,0,0,0
"['frang', 'plant', 'volt', 'chup']",0,52,0,1,1
"['vc', 'chiqu', 'benh', '@', 'ryanr', 'liv', 'on']",0,68,0,0,1
"['gost', 'cam', 'rs', '@', 'ryanr', 'liv', 'on']",0,82,0,0,1
"['tad', 'goby', '@', 'ryanr', 'liv', 'on']",0,73,6,0,3
"['bom', 'gent', 'boa', 'twitc', 'pra', 'tod', 'cheir', '@', 'ryanr', 'liv', 'on']",0,102,0,0,1
"['@', 'kcril', 'ouv', 'músic', 'precis', 'vc', 'excel', 'lind', 'fod', 'pq', 'tô', 'separ', 'pqp']",0,88,0,1,1
"['@', 'fcnosamorang', 'excel', 'post', 'histór', 'tb']",0,49,0,0,0
"['rt', '@', 'salvenord', 'obrig', 'apoi', 'cont', 'vc', 'divulg', 'campanh', '#', 'salvealago', '#', 'salvepernambuc']",0,129,0,0,0
"['@', 'thaisbz', 'k', 'mass', 'né', 'pod', 'pass', 'pra', 'frent', 'clar', 'cheir']",0,67,6,0,0
"['sent', 'q', 'tá', 'tud', 'err', 'q', 'pesso', 'import', 'acab', 's', 'perd', 'erosinseguranç', '#', 'fod', 'hor', 'mud', 'boa', 'noit']",0,140,0,0,1
"['@', 'aninhaebc', 'tá', 'msn']",0,25,0,0,0
"['@', 'aninhaebc', 'ta', 'chiqu', 'rs', 'mto', 'contat', 'ta', 'boa']",0,63,6,0,3
"['@', 'angelicamorang', 'nu', 'magavilh', 'hein', 'mass', 'prom']",0,62,0,0,1
"['h', 'maiúscul', 'twitt', 'ent', 'sab', 'dev', 'ter', 'cri', 'perfil']",0,85,0,0,0
"['gost', 'bat', 'pap', 'msn', 'respond', 'porqu', 'outr', 'fal', 'temp', 'pra', 'fresc']",1,98,0,0,0
"['faz', 'unh', 'cort', 'teso', 'cort', 'trinc']",0,69,0,0,0
"['usa', 'roup', 'corder', 'rox']",0,36,0,0,1
"['faz', 'barb', 'tod', 'dia']",0,25,0,0,0
"['gost', 'faz', 'compr', 'faz', 'porqu', 'mulh', 'forç']",1,54,0,0,0
"['olh', 'prim', 'pro', 'peit', 'mulh']",1,39,0,0,0
"['gost', 'futebol', 'cervej', 'mulh']",0,37,0,0,0
"['amig', 'morr', 'vontad', 'comêl']",1,46,0,0,1
"['volt', 'agor', 'pra', 'fic']",0,31,0,0,0
"['conv', 'nui', 'samp', 'rt', '@', 'htcolor', 'vam', 'p', 'bal', 'samp', '@', 'fabsr', '@', 'liviacastrofot', '@', 'tiaglop', '@', 'brunomat', 'luc']",0,132,0,0,4
"['ninguém', 'cheg', 'cas', 'fal', '“', 'mã', 'hétero', '”', 'ent', 'cheg', 'diz', '“', 'mã', 'gay', '”', 'by', '@', 'mariagadu', '#', 'epront']",0,127,0,1,4
"['@', 'angelicamorang', 'taí', 'qri', 'picolé', 'carambol', 'jamb', '#', 'recifefeling', 'dia', 'hj', 'mto', 'trab', 'noit', 'solid', 'fer']",0,139,0,0,7
"['oxent', 'pq', 'tão', 'sant', 't', '@', 'agdabrit', '@', 'docepimentasp', 'maluc']",0,83,0,0,2
"['1', 'cois', 'ñ', 'elimin', 'outr', 'rt', '@', 'quasegay', '@', 'agdabrit', 'ain', 'menin', 'entrev', 'd', 'empreg', 'seman', 'vem', 'vou', 'sair', 'prostitu', '#', 'r']",0,140,0,0,2
"['@', 'angelicamorang', 'piment', 'coment', 'estrev']",0,78,0,0,1
"['aind', 'acredit', 'est', '#', 'recif', 'dia', '2407', '#', 'oquartosecret', '@', 'angelicamorang', 'seri', 'sac', '#', 'boloderolofeling']",0,131,0,0,0
"['@', 'angelicamorang', 'hj', 'tdo', 'mund', 'preoc', 'c', 'coleg', 'escrit', 'sab', 'q', 'ido', 'faz', 'entrev', 'disfarç', 'faz', 'preocup']",0,140,0,0,4
"['nasc', '13121978', '#', 'acredit', 'apel', 'infânc', 'mar', 'desastr', 'rt', '@', 'alineborel', 'tá', 'pra', 'nasc', 'pesso', 'desastr']",0,140,0,0,0
"['hj', 'vi', '@', 'biacampos12', 'pergunt', 'p', '@', 'angelicamorang', 't', 'func', 'promoç', 'don', 'morangorespond', 'func', '#', 'odiadehoj']",0,139,0,0,2
"['@', 'alineborel', 'séri', 'qq', 'dia', 'relat', 'uma', 'boa', 'especi', 'pósgradu', 'aut', 'flagel', 'form', 'deslig', 'exempl']",0,139,0,0,1
"['@', 'alineborel', 'ex', 'hj', 'perceb', 'vc', 'promot', 'comunidad', 'morang', 'aind', 'tô', 'tent', 'descobr', 'sóc', '#', 'tofal']",0,132,0,0,2
"['@', 'analethic', 'af', 'tutor', 'tédi', 'vê', 'ediç', 'víde', 'vc', 'entr', 'facul', 'maqui']",0,109,0,0,1
"['@', 'renatu', 'q', 'fod', 'hein', 'amig']",0,33,0,1,0
"['@', 'marlenebicalh', 'q', 'vc', 'nunc', 'fal', 'comig', 'madry', 'ent', 'fiq', 'trist', 'quas', 'lig', 'pro', '#', 'falaqueutescut', 'pra', 'ped', 'oraç', 'agoraestoufeliz']",0,140,0,0,2
"['ador', 'energ', 'daqu', 'gost', 'lembr', 'vou', 'trabalh', 'feri', 'gost', 'ter', 'empreg', 'ent', 'tá', 'ótim', 'rs']",0,124,0,0,1
"['tá', 'doend', 'sim', 'tá', 'doend', 'mim', 'namor', 'felip', 'mel']",1,108,0,0,2
"['@', 'marlenebicalh', 'jeit', 'desastr', 'coloc', 'cop', 'águ', 'cim', 'tv', 'fic', '#', 'melhorna', '#', 'oremospranaor']",0,121,0,0,0
"['@', 'marlenebicalh', 'começ', 'fal', 'escut', 'assist', 'dr', 'hous', 'dá', 'niss']",0,86,8,0,1
"['@', 'marlenebicalh', 'qq', 'dia', 'relat', 'uma', 'pósgradu', 'autoflagel', 'm', 'form', 'deslig', 'apel', 'd', 'infanc', 'mar', 'desastr']",0,140,0,0,2
"['quê', 'rt', '@', 'patriciakatak', 'vc', 'deix', 'pq']",0,54,0,0,0
"['@', 'marlenebicalh', 'bor', 'faz', 'campeonat', 'madry', 'vc', 'pod', 'ser', 'mãe', 'emb', 'ach', 'idad', 'snif', '#', 'saudadedem']",0,138,6,0,3
"['@', 'marlenebicalh', 'ia', 'dar', 'boa', 'noit', 'vc', 'ja', 'ent', 'boa', 'sext']",0,73,6,0,1
"['boa', 'noit', 'lind', 'noit', 'rs', '@', 'dignam', '@', 'amorainlov', '@', 'nandas2mar', '@', 'agdabrit']",0,85,0,0,2
"['ind', 'dorm', 'som', 'lind', 'músic', 'crenç', 'sim', 'verd', 'sempr']",0,118,0,0,0
"['@', 'dignam', 'olh', 'víde', 'post', 'agor', 'durm', 'bem', 'cheir']",0,70,0,0,0
"['@', 'eikebat', 'canh', 'retorn', 'fal', 'pro', 'felip', 'mel', 'vai', 'anim', 'boa', 'noit', '#', 'medofeling']",0,112,0,0,2
"['@', 'amorainlov', 'hell', 'poi', 'interag', 'thudhu', 'bom']",0,68,0,0,1
"['@', 'taisrenat', 'fal', 'saudad', 'esquisit']",0,55,0,0,0
"['@', 'amorainlov', 'tb', 'son', 'ei', 'trabalh', 'amanhã', 'hj', 'feri', 'samp', 'tb', 'trabalh', 'rs', 'af', 'rs']",0,101,0,0,4
"['@', 'htcolor', 'oi', 'pso', 'tá', 'mor', 'ond', 'aqu', 'samp', '#', 'quenaosejanazlmodeon']",0,76,0,0,2
"['@', 'juhsavignon', 'moit', '#', 'nuncafu']",0,42,6,0,1
"['@', 'htcolor', 'tb', 'aclim', '#', 'bemnofocodacomidajapon', '#', 'ador']",0,62,0,0,1
"['@', 'amorainlov', 'constitu', '1932', 'porr', 'bisavó', 'nasc', '32', '#', 'quequeutenhoavercomis']",0,104,0,1,0
"['@', 'juhsavignon', 'par', '#', 'contalogotudoquetenhosanguejorn']",0,66,0,0,0
"['pso', 'fin', 'rt', '@', 'htcolor', '@', 'docepimentasp', 'jardim']",0,57,4,0,2
"['@', 'amorainlov', 'gal', 'reun', 'contr', 'govern', 'intransig', 'varg', 'ofic', 'min', '800', 'pso', 'morr', 'cidad', 'bombarde']",0,140,0,0,2
"['enfim', 'alguém', 'entend', 'ness', 'lif', 'rt', '@', 'lenabahirah', 'ah', 'gent', 'complic', 'sim', 'vid', 'total', 'previs', 'ñ', 'graç']",0,140,0,0,1
"['@', 'paulamirel', 'vc', 'conhec', 'band', '#', 'thec', '#', 'fikdik', 'runaway', 'fronti', 'at', 'your', 'sid', 'aí', 'vai', 'amomuit']",0,120,0,0,3
"['@', 'paulamirel', 'val', 'pen', '02', 'dvd', 'incr', 'mor', 'sp', 'fariat', 'cóp', '#', 'thec']",0,106,0,0,2
"['gent', 'li', 'piad', 'fod', 'agor', 'vou', 'traz', 'per']",0,55,0,1,1
"['@', 'paulamirel', 'qu', 'dic', 'mei', 'trash', 'pra', 'aument', 'gal', 'show', '#', 'trashquefunc', 'gtgt', 'bat', 'pap', 'uol', 'sal', 'min', 'divulg']",0,145,0,0,3
"['@', 'kcril', 'deix', 'lembranç', 'saudad', 'min', 'enfr', 'ouç', 'músic', 'lind', 'msm', 'conhec', 'the', 'cor']",0,118,0,0,3
"['@', 'agdabrit', 'sei', 'lá', 'invent', 'agor', '#', 'catit']",0,51,6,0,1
"['@', 'marlenebicalh', 'oi', 'carametad', 'desastr', 'mor', 'dei', 'uma', 'fuç', 'hj', 'blog']",0,79,0,0,3
"['@', 'agdabrit', 'ixi', 'amig', 'maron', 'maromen', 'termin', 'namor', 'fod', 'ne']",0,73,0,1,3
"['@', 'agdabrit', 'amig', 'diz', '#', 'eavidaseg']",0,64,0,0,0
"['@', 'marlenebicalh', 'blog', 'dilic', 'ja', 'conhec', 'sim', 'vou', 'coment', 'amanh', 'hj', 'tô', 'bod', 'so', 'abandon', 'samp', 'rs']",0,128,0,0,4
"['@', 'marlenebicalh', 'vc', 'mor', 'ond', 'mor', 'aclim', 'pert', 'liberdad', 'vergu', 'paraís']",0,99,0,0,2
"['@', 'marlenebicalh', 'mor', 'jabaqu', 'compr', 'açoug', 'mass', 'av', 'sta', 'catarin', 'lá', 'selet', 'legum', 'am', 'snif']",0,137,0,0,5
"['gal', 'uma', 'fot', 'pra', 'mostr', 'terç', 'sra', '@', 'angelicamorang', 'deu', 'entrev', 'pra', 'revist', 'vest', 'micr', 'quer']",0,135,0,0,0
"['@', 'marlenebicalh', 'amo', 'bairr', 'adiv', 'abr', 'temak', 'lad', 'cas', '#', 'falenciafeling']",0,107,6,0,2
"['03', 'mosquet', '@', 'liviacastrofot', '@', 'fabsr', 'livr', 'pergunt', 'básic', '#', 'vermelhidaonorost']",0,140,0,0,1
"['@', 'isabelatavian', 'falt', '055', 'min', 'rs']",0,46,0,0,1
"['pso', 'incr', 'com', 'spolet', 'rs']",0,72,0,0,3
"['cham', 'cãom', 'junt', 'repórt', 'car', 'son', 'rs', 'mto', 'legal']",0,98,0,0,3
"['@', 'marlenebicalh', 'viu', 'fot', 'post']",0,40,0,0,0
"['vou', 'faz', 'comid', 'pernambuc', 'agor', 'qu']",0,60,0,0,1
"['cheg', 'som', 'imag', 'dá', 'né', 'xeru', '@', 'suwern', 'liv', 'on']",0,91,0,0,1
"['@', 'jujubal', 'nad', 'faç', 'básic']",0,44,6,0,1
"['@', 'jujubal', 'taí', 'ótim', 'sobrem', 'doc', 'bol']",0,60,0,0,1
"['#', 'med', '@', 'agdabrit', 'vind', 'pra', 'sp', 'rs']",0,42,0,0,2
"['gent', 'tá', 'piqu', 'jv', 'cois', 'lev']",0,63,6,0,2
"['#', 'rilitr', 'rt', '@', 'amorainlov', '@', 'angelicamorang', 'liquid', 'lov', 'iri', 'particip', 'promoç', 'infart', 'morang', 'k', '#', 'pasom']",0,139,7,0,2
"['@', 'alineborel', 'oi', 'suger', 'jv', 'ninguém', 'deu', 'bol', 'tá', 'afim', 'vc', 'moral', 'vem', 'gent']",0,110,6,0,2
"['@', 'amorainlov', 'gost', 'ach', 'bonit', 'nao', 'nad', 'nao', 'huuahauhau']",0,78,6,0,1
"['@', 'amorainlov', '#', 'brincadeirinhabob', 'rs', 'tb', 'ach']",0,54,8,0,2
"['@', 'amorainlov', 'tb', 'futurarecemsolteiraindapaixon', '#', 'fod', 'rs']",0,77,0,0,2
"['@', 'amorainlov', 'own', 'gat', 'depend', 'mim', 'vam', 'ver', 'futur', 'reserv', 'és', 'solt']",0,124,0,0,0
"['@', 'amorainlov', 'put', 'complic', 'respeit', 'sens', 'sim', 'ótim', 'ver', 'ent', 'enc', 'seicomoé']",0,132,0,0,1
"['@', 'amorainlov', 'norm', 'imagin', 'situ', 'pso', 'tb', 'ne', 'fod']",0,68,0,1,1
"['uia', 'rt', '@', 'papertomaz', '@', 'amorainlov', 'fia', 'cont', 'tô', 'fazen']",0,76,0,0,2
"['car', 'quer', 'amig', 'expatr', '@', 'djbut', 'rt', '@', 'lenabahirah', 'melhor', 'escri', 'país', 'fabríci', '@', 'carpinej', 'jô']",0,137,0,0,3
"['@', 'milanun', 'problem', 'séri', 'pq', 'cabel', 'cresp', 'diz', 'piolh', 'caus', 'traum', 'acredit']",0,124,0,0,1
"['@', 'milanun', 'bem', 'exager', 'vá', 'vez', 'pra', 'secret', 'comec', 'alis', 'cabel', 'adolescenc', 'hj', 'quer', 'tel', 'cache', 'nao', 'poss']",0,140,0,0,5
"['@', 'milanun', 'vinganç', 'branc', 'hj', 'tô', 'melhor', 'aparenc', 'tod', 'mago', 'rs']",0,96,0,0,2
"['@', 'milanun', 'problem', 'temp', 'sim', 'ach', 'reflex', 'long', 'hist', 'pra', 'cont', 'aqu', 'bem', 'complic']",0,136,0,0,0
"['@', 'lenabahirah', 'puts', '@', 'carpinej', 'gay', 'legal', 'gent', 'ver', 'apar', 'engan', 'faz', 'men', 'diferenç', '#', 'namoradalind']",0,134,0,1,1
"['moç', 'ótim', '@', 'carpinej', 'rt', '@', 'milanun', 'rind', 'moç', 'ta', 'jo']",0,102,5,0,1
"['ach', 'vou', 'peg', 'caron', '@', 'agdabrit', 'mim']",0,51,0,0,1
"['pqp', '@', 'carpinej', 'tá', 'fud', 'verdad', 'absolut', '#', 'geni']",0,70,0,1,1
"['@', 'jujubal', 'ow', 'lind', 'trabalh', 'amanhã', 'dó']",0,48,0,0,0
"['gent', 'tá', 'absurd', 'brig', 'jô', 'so', 'x', '@', 'carpinej', 'huuahau']",0,65,5,0,3
"['@', 'jujubal', 'son', 'rs', 'cheir', 'tb', 'ador']",0,49,0,0,1
"['algu', 'aí', 'qu', 'peix', 'pq', 'pesq', 'vári', 'aqu', 'cheir', 'tod']",0,74,0,0,0
"['ow', 'esquisit', '@', 'aninhaebc', '@', 'rafinhaf', 'tá', 'imit', 't', 'pal']",0,79,6,0,1
