text,hate_speech
'Cada mortal é uma vítima de sua própria ignorância',1
"@LeoLimaDuarte @gabrisinhas se vc concorda com ela, vc reproduz racismo. mas não to aqui pra silenciar negro, cê acha o que quiser.",0
Claro que elas não deixariam passar em branco! E com direito a um pulinho no PA! #amigas _ https://t.co/hK3WLINI4w,0
'Ze Ricardo vc y burro',1
Chupa nazistinha! Vai daí @masaldanhabea https://t.co/ht4aRop6Dk,0
"#PNR apresenta-se em Sintra, pela 2ª vez em autárquicas, ampliando agora a sua participação nesse concelho. _ https://t.co/vifLbe61Dv",0
'Raposao politico de profissao  ta no fim da carreira e o Piaui o adora  Eh boca mole eheheh',1
Eu odeio mulheres estúpidas,1
'Peco mais respeito por favor Falei',0
"@editorahumanas os movimentos estão cada dia mais retardados mentais, não aguento mais editora",0
"Tô gorda e n consigo emagrecer, certeza q minha gastrite tá piorando pq só passo mal, n tenho inglês fluente, n sei nadar, sou feia +",1
Mas ainda tinha aquelas gostosas que saíram quando saíram na outra semana eu estava no playboy,1
"""Estudo graças ao feminismo""
ENEM 2018
- Crie uma lição inventando o abuso sexual no banheiro do clube em vez da redação",1
"A #MulherDeVerdade é curiosa, informada, gosta de conhecer o novo ...",1
'Todos ou voce duvidava dessa medida tao rapida do MPF',0
'Adinaldo kkkkkkkkkkkk De novo defe cuando mortadela',1
RTbeckttx: paolabuzzone é por isso que sou um sapato. Super indicação.,1
e tava reclamando que sou gorda e feia vou continuar assim,1
'aprender a escrever um cavalo',1
`` Resta apenas este carcamana judeu para ficar com Leve em sua casa no lago sul '',1
Status: pegando o Uber mais clichê da vida ca sapatão ouvindo Ana Carolina.,1
"""Você sabe onde o dedo que faltava atingiu sua mãe kkkkkk""",1
racismo está nos olhos de quem vê,1
'O gordao ainda fica rindo consegue nem ficar de pe',1
"@ killercookie77 Vejo sapatos fazendo isso e estou apaixonado, acho que JA está vindo para o VC para a internet hoje https://t.co/PdUGX4MB8Q",1
"Bom dia, companheiros! Como diria a Bárbara Guimarães, hoje, está um frio do Carrilho!",0
'quanta gente raivosa que horror',0
@spacelerman @noswse MEU DEUS PAOLA CURITU MEU MEU TWEET FALA EU SOU SAPATO E IBDICO CO PASAA RUIM,1
"RT @patxwxxd: feminazi
mulher é perigo dirigindo
loira burra
pega vários é piranha
roupa curta merece estupro
""homem é babaca""
NoOOoOOssa _",1
"`` O pai daquele banquinho esqueceu de dar a descarga quando ela caiu no vaso sanitário, percebeu que ela não estava usando calcinha. ''",1
@Coment4dor @misscaviar @PolitzOficial Serve a sua nação e a defesa de seus valores https://t.co/WU63ji66MT,0
'Tem que cortar a carne das regalias dos politicos em Brasilia vamos fazer este sacrificio Temer',0
RT @Mrs_Molli: Não concordo https://t.co/BHcivmLAmk,0
RT @Justiceiro_Sujo: Isso aqui @SpOAB não vê. Mas brinca que @editorahumanas preocupa uma gorda feminista ... https: //t.c _,1
@snnjess Descobri que não perguntei nada.,1
"""Bolsonaro nazista e turma do PSOL democrática"": 
A imprensa brasileira perdeu a vergonha até de ir contra aquilo _ https://t.co/DAIJ52Iiwb",0
RT @JOAQUINVOLTOU: TER O CRAQUE NETO COMENTANDO FUTEBOL EUROPEU É A MESMA COISA QUE TER O GOLEIRO BRUNO COMO CONSELHEIRO AMOROSO,0
nao deu pra carregar meu passe pq a mulher do setuf eh uma burra,1
'Base  Com Ze nao tem vez So jogo la medalhao e jogador de empresario Politica dinheiro no bolso ',0
"@ajulysantos Novo filme: ""O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco""",0
"RT @jpintocoelho60: Razão e coragem contra a infâmia. O medo não passa por aqui!
#PNR #Nação #Identidade
@sosracismo @EsquerdaNet @psociali _",0
O homem que é o homem come os doritos de pimenta simplesmente com geleia de pimenta e gelo de guaraná.,1
"""O encantador de panificação pegou mais dois""",1
'As radios sao controladas por politicos so precisavam do presidente certo pra ganhar o presente Muita gente  vai xiar o AM tem maior alcance',0
@SaoBlack @jairbolsonaro @GloboNews pois é cara,0
Menos !!! Este é um programa de #breeding # sem preconceito !!! Existem apenas negros! Ninguém aqui é dedicado a Gore !!!!! Eu sou diferente com isso !!!!!,1
"QUE COMECE O DESESPERO:
#CarnavalAcabouE FELIZ 2017 https://t.co/wGEk6AWDgd",0
"""Ele já bateu duas vezes de duper coxinhas e eu entendo esse ultraje.""",1
"SUSPEITEI, UM SÓ NÃO SUPORTARIA TANTA DECEPÇÃO @felipeneto",0
"RT @minasnahistoria: Dolores:mulher de extrema importância p/ a luta indígena latino-americana. Pobre, índia, comunista, rebelde, foi apaga _",0
Reunião com generais em Mar-a-Lago em Flórida. Muito interessante! https://t.co/pshsZjy6zm,0
"Impedir os imigrantes ilegais é meramente cumprir uma promessa da minha campanha. Membros de gangues, traficantes e _ https://t.co/N6dylY90tZ",0
"RT @EricksonEriie: @Curate_Angola Não sei, nunca vi o desenho em questão, mas se faz anos que não consegue ver um beijo gay, também _",1
"Liznazo, homemdeverdade, você deve ter 2 filhos em 24 áreas à sua escolha ....",1
"""O cara vai chupar um pau""",1
"@Tais_Renata NOssa, nem me fale, saudade da esquisita..",0
@ otmar03 @Djouka_PB também tem um vídeo do Bruno com a namorada de mãos dadas ... mas não é da natureza dele tratar bem as mulheres kkkkk,1
"Com hamburger feito das vaquinhas, cheddar e cerveja ficam uma delícia https://t.co/UzqEpnoYqM",0
"No dia em que todos os muçulmanos morrerem, certos de que o inferno os alcançará.",1
@ euluana66 Isso mesmo! Alguns homens pensam que o orgasmo feminino não existe (as mulheres que fazem sexo riem e se arrependem),1
#MulherDeVerdade valoriza a beleza. Mas sua maior preocupação é o conteúdo. E ela tem. E essas são as atrações para isso.,1
será quem que achou as horcruxes do Niemeyer???,0
"@MarleneBicalho Ia dar boa noite, mas, vc ja foi então, boa sexta! hahaha",0
'Queria ver ela indo pro Paraguai tomar outro calote kkkkkkkkkkkk',0
'Doeu o buraco do coxa',1
"Eu vejo quem torce pra Emilly e o historico de torcida é igual. Não tem gente feia, gorda. Nada fora dos padrões",1
"Duda é muito burra , veio pra formatura e esqueceu do documento Dela , a mulher barrou ela  , KKKKKKKKKKKK",0
'Nossa Anselma bibona invejosa sem criatividade',1
RT @ajulysantos: O ruim de falar mal do Papa Francisco pra quem não acompanha a política mundial é que vc acaba sendo chamada de doida.,0
'muitos jogadores sem condicionamento fisico pra disputar um brasileirao deu nisso',0
Vai dai seus chato https://t.co/wBZfb04LSw,0
E você? Está fazendo sua parte? Cenas do filme Lista de Schindler. Impossível não se emocionar. https://t.co/yNV0RW7cay,0
"RT @edmilsonpapo10: @agnaldoregojr @reinaldoazevedo @YouTube isso pra mim é irrelevante, queria pegá-lo mentindo, e consegui",0
@larissasandy18 fui fazer luzes e a burra da mulher fez merda... Tá horrível,1
"RT @becsamorim: Queria dedicar este tweet ao meu Sapatonis
Obrigado por ser um dique vida
beijo",1
não tás mesmo a ver a cena... eu tou mais minado que os campos de angola no ultramar https://t.co/lQY3rlDLyX,0
"""A mulher tem uma única via para superar o homem: ser mais mulher a cada dia."" #MulherDeVerdade",1
"@oiluiz já vou por aqui no torrent!
Pearl Harbor tbm é ótimo e tem quase 3 horas",0
"Olá, você já está, você ainda não sabe .. mas ele é",1
Interessante alguns países do Oriente Médio concordarem com o veto. Eles sabem que se algumas pessoas forem permiti _ https://t.co/aG4hAE6SCI,0
Os meninos têm um pênis e as meninas têm uma vagina. Concluído ... https: //t.co/7eGkBhTjcQ,1
Matar muçulmanos é muito divertido.,1
"RT @jaaguara: Pode ser feio, pode ser gordo, só não pode ser feio e gordo.",1
"Nada gordo e feio, smp era um bebê lindo - _ https://t.co/j1DnxATjkZ",1
"""O que o nome júnior e a atitude da marmota Ooooooo abrangem""",1
"Os guris de nutrição da minha faculdade são todos iguais 
Branco musculosinho tatuagem maori no braço",0
'Vai la lamber as bolas dele',1
"A #MulherDeVerdade acreditava no amor, mas não virou pegadinha.",1
Tantos diques interessantes que há som e guitarra tocando enquanto se relaxa na sala de jantar,1
Dormindo com a luz em homenagem a Ishaan,1
"Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do @homemdeverdade !",1
"""Ele ia todas as semanas limpar a casa onde as mulas estavam escondidas.""",1
GENTE QUE ACREDITA EM DUENDES KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK VOCÊS SÃO MTO TROUXAS DUENDES MENTEM MUITO,0
RT @gabwhenicome: esse tt @direitafalando é o melhor JAJDKDKD,0
"- Se compararmos isso a um verme falante, quem ficará chateado?",1
"Até que enfim alguém me entende nessa life RT @lenabahirah Ah, a gente tem que complicar, sim, uma vida totalmente previsível ñ tem graça...",0
@HelderRocha16 @ChagaLuccas isso é um absurdo tb,0
"O PSOL foi seguir a ideologia comunista coreana onde se come cachorro, mas levaram muito ao pé da letra... https://t.co/AQAzISQzmz",0
@AleMagnnusb não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não,1
"Atrapalha nada @lf_ponde, se não fosse o Bolsonaro ia ficar sempre naquela PT E PSDB pra qm votar para presidente e _ https://t.co/g7jtEQRZAW",0
Muitas tinturas bonitas na Escola do Cairo,1
porque tem fufas em Almeirim que não conheço,1
'Marcio nao sou seu irmao nao Nao tenho irmao baitola',1
Faz esse favor pra gente @bfhiago https://t.co/YfMs3DD6Q5,0
LOL Não têm vergonha. E seis milhões de bilhetes IDA de avião para os refugiados que já cá estão? https://t.co/JHAdv7DClo,1
"Aaaaaa Turma de 9 homens e eu, professor de cabo fala de sapatão (conector feminino feminino) e todo mundo me vê",1
"RT @caralhosafoda: Fufas de merda, atiram-se a tudo o que mexe.",1
"homem morre: homicídio
criança morre: homicídio
heterossexual morre: homicídio
gay morre: homofobia",1
Somente sofrendo na pele de suas cobras este grupo sente o verdadeiro socialismo / comunismo. Isso não é nada em suas antas.,1
@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.,0
"@catarina_mart 
Então hoje debateram o ""PNR""?
Será que finalmente acabou o boicote e a censura ao meu partido?
@govpt @antoniocostapm",0
E você aí galinha desossada que só reclama da vida! Pare de chorar.,1
"E qual o problema??!? Contrato quem eu quiser, oras! https://t.co/hRykXNkvik",0
"Feminismo: 
- defende TODAS as pautas da esquerda.
- é só a esquerda perder eleição que faz protesto
- nunca protes _ https://t.co/SWatIvzKwv",0
`` As Florzinhas ficaram chateadas KKKKKKKKKKKKKKKKKKKKKKK '',1
"Veja fotos e vídeo. Islã, não aqui! https://t.co/rnj2MV3chu
#RenovarPortugal #PNR #Islam #Muslims #Mosk #Portugal",1
'Debil mental ',1
política + religião = sucesso,0
"Não somos discriminadores, ao contrário, queremos igualdade! #orgulhohetero",1
Um Santo Natal e um Ano 2017 cheio de Esperança - João Patrocínio: https://t.co/7VpJr2vVub via @YouTube,0
"Daqui a meses abranda a histeria em torno de #Trump e será este o alvo dos media.
Força @MLP_officiel @ElyseeMarine 
https://t.co/8nbzc83eB7",0
a pm não é racista......já vi policial negro ok,0
"@Lusa_noticias 
Tem boa solução: arranje um OVNI. https://t.co/rqBFOzA51W",0
"HOMEM FEMINISTO:
NÃO DEFENDE A ESPOSA
CHEIO DE TATUAGI
MOVIDO A MACONHA E PÓ
DIVIDE A MULHER COM OS PARCERO
DEPRESSIVO
O LEGÍTIMO CORNÃO",1
"""Quero querer um feliz dia das mulheres, mas no ano seguinte você diz"" isso é horrível """" isso é gordo """" isso é quente ""
TA NA DAI ?????",1
'dor de cotovelo das marias azuis borradeirasadoram a pagina do galo',0
'Uma visita aos familiares vitimados por essa escoria sera louvavel',0
"«Na Alemanha, multiplicam-se à enésima potência os ataques aos campos de refugiados. (...) não são os refugiados que atacam os alemães.»",0
Lutei no Dia da Mulher e nem me lembrava da idiota da Meixmo devia estar lá em cima,1
"Ela respondeu com ""ata"", já sei que ela é muito feminista ...
AHH, VAI LAVAR OS PRATOS QUE VOCÊ AMA MAL !!!!",1
"@Estadao Era uma feminista que era o tapete da porta do lelopetismo.
O paradeiro de uma mulher é onde ela quer estar.
A localização feminista é onde o comando esquerdo",1
"Mais uma vez, um menino pediu um lanche a um amigo meu e eu o ignorei
O garotinho gritou: Vai, tia, você já tá tão gorda!
Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha ha ha ha ha ha",1
O mundo do Fufted nem é pra mim,1
"gorda' não é ofensa, assim como 'magra' não é elogio. Pare d se achar 'feia' por essas regras d 'beleza' imposta pela sociedade",0
'PESQUISE E PARTICIPE Consulta Publica  PEC ',0
@minycalegari no seu caso eu posso entregar tb. Sem problemas,0
"Reportagem da FOLHA DE SP de hoje. Este tipo de reportagem aliado a programas como Amor e Sexo, Fatima Bernardes,... https://t.co/XyIJiyHLjI",0
"RT @AcordouAcordou: DÓI OS OUVIDOS
PT É UMA FARSA
=> O manifesto concebido para livrar Lula da cadeia tortura a verdade e trucida a língu _",0
"Na internet:
#SomosTodasPutas
Na vida real:
Não me chame de puta! Isso é machismo! Mimimi",0
adiosiago amandassini Quando o branco pensa que racismo é uma coexistência só me dá vontade de continuar com o perfil,1
@pickamiolos N acredito nessa separação.Prefiro acreditar em integridade e valores e em defenderes o que acreditas apesar das consequências,0
"# SerMulherÉ, poder criar uma vida em si mesmo, ser biologicamente um sem essa ""palhaçada transgênero"" https://t.co/iJO3UwHS6v",1
Feliz dia do amigo que faz escolhas erradas!,0
"A Bulgária não tem um mimimi de esquerda.
Eles estavam sofrendo de pele soviética.
Eles não querem globalismo, comunismo ou _https: //t.co/IwxdlSI6yv",1
"Viver com uma mulher bonita, inteligente e independente é difícil para um homem ignorante e inseguro que nunca alcançou, certo? É uma vergonha",1
'Idiota',0
"RT @rpsantos1970: O nosso Presidente @jpintocoelho60 
É preciso renovar! É preciso acreditar!
#PNR #Portugal #Portugueses #JoséPintoCoelho _",0
"Amor acima mas com fufas, estou aí",1
Mais uma Bíblia em quadrinhos para crianças.#NãoAutorizada...Beira a livros pornô para adultos. Zombando de... https://t.co/gDJ7YXDaqE,0
@RealOzziePena @V_of_Europe @JOAQUINVOLTOU @OdeCarvalho @AnaPaulaVolei @moura_101 @GABRIELPlNHEIRO @BlogDoPim Eu também não votaria.,0
"'Pior do que pensei, não era apenas uma boca macia, é apenas um servo'",1
"claro! esperar o quê de quem tem mente fraca e acredita em professor de história q usa camisa CheGhevara, tem 42 an _ https://t.co/XIOfyGwmky",0
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir,0
"RT @rpsantos1970: A intolerância dos ""tolerantes"" de Esquerda. 
#Muculmanos #Esquerda #Ilegais #Imigrantes #PNR https://t.co/ABqgtFEmBs",0
"""Adinaldo Bibinha""",1
"Desde que Pinto da Costa deixou de fotografar seios brasileiros para fotografar pernas mexicanas, o Porto nunca mais ganhou ...",1
"eu nunca me senti tão gorda, tão feia, tão... tão mal",1
"sabia que esse cara era um tremendo de um pau no cu, dá pra ver pelos vídeos no youtube https://t.co/QjREu4L723",0
"A lição de hoje para a mulher mais estúpida do Brasil é: Não pule de um ônibus em movimento, mesmo que você esteja lá embaixo ou ancorado",1
'Tinha que ser baianoputz que povinho',1
'Quantas horas de vassoura de Porto Alegre a Montevidéu',1
"Desconstrução cultural, identidade masculina Sendo destruída. Artistas criam factóides para aparecerem na... https://t.co/AZFIVhKrXk",0
existem dois tipos de casais https://t.co/ozTrbrTyJY,0
"Este plot twist no final da cerimónia foi escrito pelo George R. R. Martin não foi?
#Oscars",0
COM MUITO AMOR  https://t.co/0ILXEJY5V6,0
'Tenho pena so das vitimas deles Quem se comporta nao vai preso',0
"Na América do Norte, o conceito de ""jogar ao mata"" nas escolas é ligeiramente diferente do que se pratica aqui na E _ https://t.co/jJ3a3bXXlO",0
'OS LARAPIOS ESTAO SE REAGRUPANDO TEM QUE PRENDER LOGO OS CHEFES NAO SEI PORQUE A DEMORA',1
'Diga outra coisa fdss',1
"Não se iludam: um dia isto chegará Portugal. Só votando #PNR se vai evitar esta invasão.
@Refugiados_Pt 
https://t.co/HyjExlPhM3",0
"Esta senhora está completamente obcecada pelo Trump.
Haverá alguma explicação freudiana? 
@fcancio
#ForçaTrump https://t.co/5SFjTYzgDx",0
"mulher esperta fica rica, mulher burra fica pobre rsrs",0
O burro do talento do rádio coloca p masculino para iluminar a mulher,1
"Estado da Segurança Privada em Portugal
https://t.co/xdH26hs0q4 
#RenovarPortugal #PNR",0
Você não percebe que o racismo acabou com o fim da escravidão ???,1
'Esse time em que todos gostam de ceder a cauda',1
As últimas 30 fotos da minha galeria devem ser cópias deste,1
"RT @JOAQUINVOLTOU: ""21 anos sem Mamonas Assassinas""
SE ELES FOSSEM VIVOS VOCÊ ESTARIA FAZENDO TEXTÃO ACUSANDO OS CARA DE MACHISMO, HOMOFOB _",0
RT @dykerspt: Bom dia sapatão,1
RT @InesBolsonaro: Vem meteoro essa geração fracassou https://t.co/lcYhItHhfu,0
@httpsdofandom mas tb desse jeito achei q a solução era remover o pé,0
RT @iStevenOficial: @MaBolsonaria linda demais...casa cmg? <3,0
' Entao e da lojinha da anta',1
"RT @lobaoeletrico: Eduardo Paes: “Não me sinto responsável pelas dívidas da Olimpíada”
https://t.co/iidNFLBPlp",0
"Não conheço absolutamente ninguém mas pro @JornalOGlobo a chamada é ""INVADINDO"". https://t.co/KhoRj4xxNy",0
O campeonato estadual é igual para agilidade na gordura (não cabe nada) e o clássico me faz dois grupos. Tableau na área de Khedira ...,1
Eu vejo quem apóia Emily e a história de torcida é a mesma. Não existem pessoas gordas e feias. Nada fora do normal,1
'ELE VAI JOGAR DE GRACA KKKKK SEU RETARDADODAQUI A SEIS MESES ELE VAI FICAR MAIS RICOE VCS SEM TITULOS SEM VITORIA E O CHEIRINHO DE JOELHO PODRE AUMENTARA CUSTO BENEFICIO ZEROENTENDEU SID NOIAKKKKKKKKTA COM DIARREIA MENTALKKKKK',1
"Realmente, concordo. Vamo se beijar https://t.co/aSlnxtyaSl",0
'Essa terrorista nao vai presa por ter roubado e atrasado um pais Que morra logo demonio',1
"Povo falando que tô linda grávida, onde????? Gente, eu me sinto um monstro, tanto de gorda, quanto de feia kkkk",1
"jeanwyllys_real Olha a loucura da militância .... via mulheres, a tradução do homem também é mulher. Não. Eles são homens .. _ https://t.co/nb4o8l6plQ",1
"A era em que os ""homens"" começam a usar rosa https://t.co/3Cfl9aoHmO",1
