data,Hate.speech
@XXXTRABOLD claro! @homemdeverdade não comentou nada porque esteve em algumas horas de luto e reflexão sobre sua obra. Brinde ao Mestre...,0
@dadoqueiroz @homemdeverdade não acompanha time de meninas!,1
"@homemdeverdade manda um salve pra imagem da semana: nós te amamos!!!
- http://bit.ly/7ueBM0",0
@homemdeverdade fez um serviço na cara do Silvio Berlusconi !,0
"@LeNaZZo, @homemdeverdade mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",1
RT @LeNaZZo @homemdeverdade nao paga pau. Ele paga uma mocreia para tirar a zica.,1
"Só pra deixar claro, @homemdeverdade não faz clube do macho, turminha da foda, essas merdas machistas de baitolas recatadas !",1
RT @chastinet: pro @homemdeverdade construção se resume a duas coisas: Concreto e madeira.,1
RT @LeNaZZo: Um @homemdeverdade eh akele q sabe procriar sem deixar vestigios.,1
"Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do @homemdeverdade !",1
Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,0
"Sugestões para um 2010 melhor: menos Calcinha Preta nas rádios, aliás, sem calcinha é bem melhor!",0
"""As melhores mulheres são as que querem trepar com você, e as piores são as que não querem."" - Lemmy - Motörhead - @homemdeverdade",1
"Homem de verdade que não sabe desenhar um Pinto, não conhece o pau que tem! Honre seu Pinto!!!!",1
"@homemdeverdade é viver com dignidade, é um conceito em extinção plena ! Aqui tem o foco da resistência!",0
Gostar de mulher sem ter vergonha #twittealgomuitoantigo,0
Heterosexual e homem de verdade #twittealgomuitoantigo,1
Saber pegar sua mulher sem parecer um babaca #twittealgomuitoantigo,1
"Geisy no Fantástico se deu nota 8! Más noticias Geisy, isso é ilegal, a gente é quem tem que dar a nota. E vc é um 4 ruim !",0
"@LeNaZZo os parametros para notas são complexos, em resumo: Marlene Mattos é 0, Monica Bellucci é 10 e vc só pegaria a partir do 5 bom...",1
"@homemdeverdade não fala de boquete, recebe. RT @SarahShoeMe """"Liberdade""... significa falar de boquete como quem fala do clima....""",0
Vão comer arroz e feijão seus fdp frescos do caralho !!!!!!,0
RT Um @homemdeverdade! RT @porcopedia Pra vc que desmaia qdo tira sangue ... Chegou o Plano OdontoMacho: http://307.to/fnj /(via @LeNaZZo),0
"Se o Kassabe fosse @homemdeverdade diria ""A culpa é minha, não fiz projeto algum para as chuvas e de vcs povão porco que não cobra nada""",0
"Sobreviver no Haiti, missão: @homemdeverdade MESMO!",0
@mariolemes Vc é @homemdeverdade ? E tem Twitter ?,1
video clipe da semana: http://www.youtube.com/watch?v=IQGhq0IlVok,0
@homemdeverdade usa twitter ? é a pergunta que fazem a todo momento.... !,0
"Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.",1
"A propósito @homemdeverdade não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.",1
@homemdeverdade ? não! homem na metade - http://19.media.tumblr.com/tumblr_ktygckpa2E1qz88eno1_400.jpg,0
"@homemdeverdade não precisa de #lingerieday, puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",1
"#CampusParty! Esse lugar que deve feder espinha azeda que passou da validade, tem menos mulher do que um vale tudo em Juazeiro !",1
"Quando o @homemdeverdade viu o #ipad gritou: Steve!!! Mesa 7, 2 cervejas, 4 copos americanos, uma porção de fritas e outrade calabresa!",0
homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.,1
"não usa camiseta sem manga, a menos que vá malhar ou praticar algum esporte.",0
"""Deus é justo, mas a calça da Carol... MAMÃEEEE!""",0
faz campeonato de peido com os amigos.,0
bebe cana pura e não faz careta.,0
Homem que é homem arrota com suco de laranja.,1
Palavra do dia que homem que é homem não diz: Fragrância.,1
"homem que é homem arrota com suco de laranja, no ouvido da namorada.",1
Homem que é homem só come carne. Peixe é coisa de bixa.,1
faz pontaria em qlq coisa q der na telha com jato de mijo.,0
não lava aquela cueca q acabou de comprar antes de usar,0
Homem que é homem brinca de girocóptero no banheiro da casa da sogra.,1
"conhece três cores: azul, vermelho e amarelo.",0
Homem que é homem come doritos de pimenta com geléia extra-forte de pimenta e guaraná ice.,1
O porteiro é @homemdeverdade! RT @_latinlover_ Massagear o EGO de uma mulher não é elogiar sua bunda e seus peitos. Isso o porteiro faz,0
"tem mão de homem, ou seja, com calos.",1
Homem que é homem não assiste a fazenda.,1
"""Musical? kiporréssa?!"" Por um homem que é homem",1
SEXO-CHURRASCO-CERVEJA-DORMIR ! #carnavalem4palavras,0
Homem que é homem não nota o esmalte das mulheres,1
Homem que é homem não come; bebe.,1
Homem que é homem troca o pênis por 1 fígado a mais.,1
não brocha com calcinha bege,0
não sabe que cor é bege,0
@fodemal se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.,1
"Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!",0
Manda pro seu amigo franguinha - http://bigassmessage.com/2fef80ca9,0
Feliz dos homens que gostam de mulheres - http://look-look.tumblr.com/,1
Aquelas 130 operárias que foram queimadas dentro da fábrica em 1857 são  @homemdeverdade !  mais que muito bundão covarde sem carater.,0
@homemdeverdade quando vacila assume rapidamente a responsabilidade e paga o erro com humor!,1
Dar risada de si mesmo: @homemdeverdade ! Rir das cagadas alheias melhor ainda ...,0
Essa hora sexta feira @homemdeverdade não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...,1
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!,0
Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?,1
Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE,1
@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?,0
"Mesmo a pedidos, me recuso falar do BBB! @homemdeverdade não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!",1
"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!",0
Ricky Martin!!!!! Demorou tanto tempo assim pra assumir pq? Tava dando a bunda? É? Não se reprima caralho! Literalmente pra vc....,0
"No futebol, #HQEH é atacante. Acha meio-de-campo coisa de veado.",1
#HQEH não sai mostrando a sua bunda em época de carnaval.,1
#HQEH não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.,1
#HQEH acorda cedo pra assistir os jogos da Copa. #worldcup,1
@brunynhobtc esse é o espirito true man!,0
Pra você que não gosta de futebol. Foda-se!!!! Seu mané sem alma.,0
"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!",0
Frangas de plantão ! EU VOLTEI !!!!! CHHUUUUUPAAAAAA,0
"Vc é chique benhe
 (@ryan_reminho live on http://twitcam.com/11hdu))",0
"Nossa, não gosto de cameras.. rs (@ryan_reminho live on http://twitcam.com/11hdu))",0
"Tadinho do Goby rsrsrs
 (@ryan_reminho live on http://twitcam.com/11hdu))",0
"Bom, gente, boa twitcam pra todosssss.... CHeirossss (@ryan_reminho live on http://twitcam.com/11hdu))",0
"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",0
"@fcnossamorango Excelente post, história tb... :)",0
RT @SalveNordeste: Obrigado pelo seu apoio e contamos com vc para a divulgação da campanha e as #salvealagoas  e #salvepernambuco,0
"@ThaisBza kkkkkk massa, né? Pode passar pra frente, claro! Cheiros!",0
Já sentiram q tá tudo errado? Q as pessoas mais importantes acabam s perdendo por erros/inseguranças tuas? #foda Hora de mudar! Boas noites!,0
@aninha_ebc Tá no msn????,0
"@aninha_ebc Nossa, ta chiques rs.. mtos contatos hahaah ta boa?",0
"@angelicamorango NUsssss, magavilha, heinnn. MAssa esse promo!",0
Com H maiúsculo não tem Twitter. Então você já sabe quem deve ter criado esse perfil.,0
"Não gosta de ""bater papo"" no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.",1
"Não ""faz as unhas"" e nem corta com tesoura, corta com o trinco mesmo.",0
"Não usa roupa cor-de-rosa, nem roxo.",0
Não faz a barba todo dia.,0
Não gosta de fazer compras. Faz porque a mulher força.,1
Olha primeiro pros peitos das mulheres.,1
"Gosta de futebol, cerveja e mulheres.",0
"Tem amiga, mas morre de vontade é de comê-las!",1
Eu volteiiii agora pra ficarrrr,0
Convida nui de Sampa! RT @HTColorido    Vamos p uma baladinha em sampa??? @fabsramos @LiviaCastroFoto @tiaglopes @brunomatos e Lucas,0
"""Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY @MariaGadu. #epronto",0
"@angelicamorango Taí.. qria um picolé de carambola. Ou Jambo. #recifefeelings... Mas, o dia, hj, mto trab. E a noite? ""A solidão é fera...""",0
Oxente! Pq? Sou tão santa... rs...RT @agdabritto  @DocePimenta_Sp oooooooooo maluca,0
"não! 1 coisa ñ elimina a outra! RT @Quase_Gay @agdabritto ain menina tenho entrevista d emprego semana que vem, vou sair da prostituição #rs",0
@angelicamorango A pimenta comentada na estrevista:  http://twitpic.com/1o2bln,0
Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @angelicamorango. Serio! Saco! #boloderolofeelings,0
@angelicamorango Hj tdo mundo preoc c uma colega no escrit que eu sabia q tinha ido fazer entrevista. Eu disfarçando e fazendo a preocupada!,0
Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT @AlineBorel    tá pra nascer pessoa mais desastrada que eu.,0
Hj eu vi a @biacampos12 perguntando p @angelicamorango no TT como funciona a promoção e a Dona Morangorespondendo como funciona #odiadehoje,0
"@AlineBorel É sério. Qq dia te relato umas boas. Sou especialista pós-graduada em auto flagelação e me formei em ""desligamento"": exemplo...",0
@AlineBorel Ex: Só hj percebi que vc que é Promoter do Comunidade Morango. Ainda tô tentando descobrir quem é tua sócia.. #tofalando,0
"@ana_lethicia Aff, que tutorial não é tédio??? ^VÊ um de edição de vídeo que vc entra numa facul de maquiagem",0
"@renatuuus Q fodas, hein amigo...",0
"@MarleneBicalho É q vc nunca falou comigo Madry, então, fiquei triste quase ligando pro #falaqueeuteescuto pra pedir oração. Agoraestoufeliz",0
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",0
"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",1
"@MarleneBicalho Do jeito que sou desastrada, se coloco copo de água em cima da Tv, fico sem! #melhornao #oremospranaoorar",0
@MarleneBicalho Começou fala que eu te escuto!!! (Assistir Dr House dá nisso) hahahaha,0
"@MarleneBicalho Qq dia te relato umas. Sou pós-graduada em auto-flagelação e m formei em ""desligamento"". Apelido d infancia: Maria Desastre.",0
"É, POR QUÊ? RT @Patriciakataki    Vc me deixou..! pq??",0
"@MarleneBicalho Bora fazer um campeonato, Madry? hahaha... Vc podia ser minha mãe, embora ache que não tem idade.. snifff #saudadedemainha",0
"@MarleneBicalho Ia dar boa noite, mas, vc ja foi então, boa sexta! hahaha",0
"Boa noite, Lindinhas da noite rs. @digna_amada @amora_inlove @nandas2mari
@agdabritto",0
"Indo dormir ao som de uma linda música, e da crença de que sim, o que é verdadeiro é para sempre. http://bit.ly/afKiXa",0
@digna_amada ;) Olha o vídeo que postei agora... e durma bem. Cheiros!,0
"@eikebatista Canhão com retorno? Não fale isso pro Felipe Melo, vai que ele se anima... Boa noite! #medofeelings",0
"@amora_inlove Hello, pois é, mas, estava interagindo... thudhu bom ?",0
"@Tais_Renata NOssa, nem me fale, saudade da esquisita..",0
@amora_inlove Tb soninho.. e eis que trabalho amanhã. hj é feriado em sampa e tb trabalho rs affff rs,0
"@HTColorido Oi, Pssoa.. Tá morando onde aqui em Sampa? #quenaosejanazlmodeon",0
@JuhSavignon que é moita? #nuncafui hehehe,0
"@HTColorido eu tb, Aclimação #bemnofocodacomidajaponesa #adoro",0
"@amora_inlove Constituição de 1932. Porra, nem minha bisavó era nascida em 32. #quequeeutenhoavercomisso",0
@JuhSavignon para de parar. #Contalogotudoquetenhosanguejornalista,0
Pssoa Fina... rsrs RT @HTColorido @DocePimenta_Sp jardins,0
"@amora_inlove Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",0
"Até que enfim alguém me entende nessa life RT @lenabahirah Ah, a gente tem que complicar, sim, uma vida totalmente previsível ñ tem graça...",0
"@paullamirella Vc conhece a Banda #thecorrs ? #fikdik ""Runaway"", ""No frontiers"" ""At Your Side"".. e por aí vai (AmoMuito)",0
@paullamirella Vale MUITO a pena.. Tenho 02 DVDs incríveis. Se morasse em Sp faria-te uma cópia. #thecorrs,0
"Gente, li piadinhas fodas agora.. vou trazer uma, perai",0
@paullamirella Quer uma dica meio trash pra aumentar a galera do show? #Trashquefunciona &gt;&gt; Bate Papo UOL salas de minas. Da uma divulgada!,0
"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",0
"@agdabritto Sei lá, inventei agora.. #catita hahaha",0
"@MarleneBicalho Oi, cara-metade do desastre mor... dei umas fuçadas hj no blog!",0
"@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",0
"@agdabritto Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue",0
"@MarleneBicalho O blog é uma dilicinha.. ja conhecia sim, vou comentar amanha... hj tô de bode, sozinha e abandonada em sampa rs",0
"@MarleneBicalho vcs moram por onde? Eu moro na Aclimação, perto da Liberdade, Vergueiro, Paraíso...",0
"@MarleneBicalho morava no Jabaquara, comprava num açougue massa na Av Sta Catarina, só lá tinha a seleta de legumes que eu amava... sniff",0
"Galera, tenho umas fotos pra mostrar de terça, quando a sra @angelicamorango deu entrevista pra uma revista com vestido micro.. querem?",0
@MarleneBicalho Eu amo esse bairro e adivinha? abriu uma temakeria do lado de casa hahaha #falenciafeelings,0
As 03 mosqueteiras! A @liviacastrofoto e a @fabsramos não se livraram de perguntinhas básicas! #vermelhidaonorosto http://twitpic.com/23v5hn,0
"@isabellataviani Ou seja, faltam 0:55 min.. rs",0
Pssoas incríveis que só comem no Spoletto. rs. http://twitpic.com/23v6gt,0
E o chamado Cãomor junto com uma repórter cara de sono... rs. Mto legal! http://twitpic.com/23v73c,0
@MarleneBicalho Viu as fotos que postei?,0
Vou fazer uma comidinha pernambucana agora... quem quer?? ;),0
"Chega, sem som e sem imagem não dá, né? Xerus (@suwerner live on http://twitcam.com/14790))",0
"@_jujuba_lima SOu nada, faço o básico hahaha",0
"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...",0
#medo da @agdabritto vindo pra Sppp rs....,0
"Gente, quem tá no pique de um JV??? Coisa leve.. Ou não! rsrsrs",0
"#rilitros RT @amora_inlove @angelicamorango se eu tivesse na Liquid Love, iria participar da Promoção ME INFARTA MORANGO, kkkkkkk #passomal",0
"@AlineBorel OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",0
"@amora_inlove Gosto não, acho ela bonita nao, nem nada nao... huahahaauahauhau",0
"@amora_inlove hahahaha, #brincadeirinhaboba rs tb acho",0
"@amora_inlove Eu tb, mas, sou uma futurarecemsolteiraaindaapaixonada #foda rs",0
"@amora_inlove Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???",0
"@amora_inlove Puts, complicado... Mas, ele respeita tuas sensações? Se sim, ótimo. Tem que ver então como ele encara isso.. Seicomoé",0
"@amora_inlove Normalll.. imagina a situação da pssoa tb ne, fodas...",0
uia RT @paper_tomaz    @amora_inlove Fia nem te conto o que tô fazendo..rsss,0
"E ele é a cara do meu querido amigoo ex-patrão @djbuts RT @lenabahirah Um dos melhores escritores do país, Fabrício @Carpinejar no Jô! =)",0
"@milanuness Eu! Tive problemas sérios! Pq meu cabelo era crespo. Diziam que eu tinha piolho e isso causou traumas, acredita?",0
"@milanuness Bem exagerado, fui váarias vezes pra secretaria. Comecei alisar o cabelo na adolescencia, Hj queria te-los cacheados e nao posso",0
@milanuness Minha vingança branca é que hj tô melhor (aparencia) que todas que me magoaram.. rs.,0
"@milanuness Tive um problema esses tempos sim, que acho que foi reflexo... mas, é longa a historia pra contar aqui.. foi bem complicado.",0
"@lenabahirah Puts,o @CARPINEJAR não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença. #namoradalinda",0
"Hahaha, ""esse moço"" foi ótimo! Só o @carpinejar RT @milanuness RINDO MUITO com esse moço que ta no Jo!",0
Acho que vou pegar carona com a @agdabritto e mimir,0
PQP o @carpinejar tá me fudendo com essas verdades absolutas!!! #genio,0
"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó",0
"Gente, tá ABSURDAAAA a briga Jô Soares X @carpinejar huahahhuahau",0
@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!,0
"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss",0
"Owww, esquisita, @aninha_ebc a @RafinhaFarias tá te imitando com tt pala hahaha",0
Te amo perdidamente mais agora! RT @Quase_Gay    QUAL A GRAÇA DE TER 5846844360681615 FOLLOWERS SE SEUS TWEETS SÃO UMA MERDA????,0
@aninha_ebc Num dá vontade de fazer um comentário desaforado pra essa menina? http://twitpic.com/23v6gt Acho que vou fazer!,0
"@Quase_Gay Verdade.. gosto dos meus pouquinhos, mas, que interagem...",0
Prezada @Pimentinha_17 Quando 2 pessoas usam o mesmo computador pode acontecer de uma postar na twitcam c o perfil errado. (@marlenebicalho),0
@Pimentinha_17 Certamente aconteceu isso quando a @marlenebicalho postou o comentario c a ID da @angelicamorango http://twitpic.com/23v6gt,0
@Pimentinha_17 Pouco que conheço daqui e do BBB me fizeram ter certeza de que a @angelicamorango jamais mentiria aqui... (@marlenebicalho),0
"@Pimentinha_17 Então, reflita no teu comentntário, friend. E não esotu justificando ou defendendo pq é famosa. Faria com qq Pssoa! Abç",0
SAbem o que eu descobri??? Uma pessoa Acróstica! Adivinhem quem é??? hahahah,0
Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,0
"Cara, isso não é um sonho??? #cocolatraassumidamodeon http://twitpic.com/24exzc",0
@aninha_ebc Tem galinha gisada? ahhh me convidaaaaaaaaaaaa rsrs #saudadedepernambuco,0
#atoron RT @marcoluque Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!,1
"Olá, Gatas (e gato hahaha) @jujuba_lima  @aninha_ebc @tais_renata @Quase_Gay @agdabritto @CHRISMORANGUETE @zoooiul @dra_E @marlenebicalho",0
"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",0
"@JuhSavignon =/ Não sei o que se passa, mas, #força!",0
@JuhSavignon Fica com Deus! Luz e paz!,0
"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",0
"@angelicamorango Ixi, nêga, tá em Sampa não? Aqui tá um dia lindo.. Nem sei que tô fazendo em casa acompanhada de uma colica danada.. =)",0
"@Coisasdelouco ""...Vim parar nessa cidade p força das circunstâncias.. Aprendi a m virar sozinha.. E NÃO MUDO MINHA POSTURA SÓ P T AGRADAR""!",0
"Vamos fazer uma corrente? ""TWITTER, vem pros 160 Caracteres!!! Quem adere? #twiter160caracteres",0
@Quase_Gay Gatooooooooooooooooo Tava sentindo tua falta....,0
Não vou pro céu! #fato,0
"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",0
"@biaibelieve Hahaha, pq no tatuapé tava sol, na Aclimação sol, só na Bela vista que tava nublado??? rsrs Eêee @angelicamorago",0
"@agdabritto ooowwww, amorrr, ja chegou???",0
kkkkkkkkkkkkkkkk RT @HugoGloss Mamy gloss mandou msg pro torpedao! #ondefoiqeuerrei,0
@MarleneBicalho Vi a DM Pssoa! Tudo certim..,0
@agdabritto Quero saber tudooo como foi o diaaaa!,0
"@MarleneBicalho Magina.. rs. Dia tão totoso hj em Sp. Eu fiquei em casa, trab ontem até 10 da noite, aff rs. E tu, MAdry?",0
"@MarleneBicalho NOssa, não há furto? que pena.. essa é a graça! rsrs. Cheirosss",0
"Amores, pra quem gosta de boa leitura. E até pra quem não gosta, #superindico, da @melaineribeiro http://aescritoraeomusico.blogspot.com/",0
"Linda, @SabrinaSatoReal Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0
"AMore @JuhSavignon Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0
"@renatuuus Amore Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",0
"@joaohamu :) lindooooooo, eu que reviso.. da uma lida quando puder",0
"@paper_tomaz Nossa, tme gente que não faz tattoo pra filho.. me ajuda ne? Isso foi passional!",0
"@MarleneBicalho OI, Madry, dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
"@MarleneBicalho Vc é gente, cara! rsrs, brigada lindona desastrada do meu S2",0
"@aninha_ebc Miga, dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
"@Frasesdemae dá uma fuçada lá, mãe, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
"@FCMorango dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
"@ThaisBza Oi, bonita dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
"@Coisasdelouco Gtdá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",0
@melaineribeiro Naoeammmm pq o alter ego tb ama os amigos nessa vida! rs,0
Preguiça de ir dormir...,0
"Adoro essa frase: ""Viva os loucos, os normais estão acabando com o mundo"" #fikdik rs...",0
@angelicamorango Lindo inclusive! Intrigante! Isso é massa!,0
"@amora_inlove Excelente, parabéns! E que venham as mudanças! www.morangoexpress.blogspot.com/",0
"RT @luizapossi: queria comer polvo, mas o da copa gerou apego",0
Acho que vou... ai que preguiça de dormir... xerus!,0
@carolserodio Mto fofo msm... Qual a raça??,0
@franmoraes2 Pronto.. É nui aqui tb! =),0
"@franmoraes2 PArece que tá morrendo né? Liga naum, tem um cachorro aqui no prédio que sempre confundo com uma foda.. rs",0
@franmoraes2 Pois é.. hahaha.. vi teu forms..,0
"@lima_paula Matéria sobre o #idolos no Fqte. mto bom o programa,neam? Tenho que ver mais! Parabéns provcestudo. #amoteucabelo",0
@franmoraes2 @franmyself Cheirossssssssssssssssssss boa noite!,0
"Oieeee, amoresss! Tô mtooo emocionadaaaa! MINHA SOBRINHA LINDAAA NASCEUUU! Parabéns Kilma e Lipe. Mano, te amo! Bem vinda, Karol! #renovacao",0
"Oi, amores... @dra_e @agdabritto @Tais_Renata @Coisasdelouco @joaohamu @RitaCassiaCosta @renatuuus Vcs num tem noção da correriaaaa Aff Xeru",0
"@Quase_Gay @coisasdelouco @agdabritto Hj a correria nao me deixou interagir, mas vcs sao Especiais! Saudadessss. Cheirossss",0
@franmoraes2 Boa noite esquisitinha legal... rsrs zzzzzzzzzz bjuu zzzzzzz,0
"Bom dia amores... Os dias passando, as mudanças se tornando inevitáveis e próximas... vai ficando mais difícil. #eavidasegue ?",0
Homem se verdade não tem dia pra comemorar! Todo dia é dia.,0
E vc aí franguinha dessossada que só reclama da vida! Para de chorar porra.,1
Você jovem que gosta de RESTART! Você ainda vai ter vergonha de si mesmo.,0
Hei Jovem espinhudo! AXÉ NÃO! RESTART NÃO! LEGIÃO URBANA NÃO ! Tenha um mínimo de decência nessa vida ordinária que vc leva!,0
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,0
Se vc gosta de Legião Urbana. Por favor de Unfollow. Aqui a gente tem vergonha na cara e bom gosto musical porra!,0
Qual político covarde bundao eu vou começar a xingar nessas eleições ?,0
"Aliás se vc quer xingar alguém direito, não fale da mãe do sujeito, apenas o chame de bundão ! Basta.",0
Exemplo: Nizan Ganaes é um Bundão.,0
"Aliás, o universo da publicidade é repleto de bundões !!!!",0
Ei amigo ! Vai tomar no cú !,0
Feliz dia do amigo que também come a gordura da Picanha!,0
Feliz dia do amigo que toma pinga!,0
Feliz dia do amigo que faz escolhas erradas!,0
"O foco da resistência é aqui! Ainda gostamos de mulher, pinga, rock n roll e futebol ! Ainda gostamos de churrasco, carne sangrenta...",0
Gostamos de errar!,0
Direto do front e contra toda a idiocracia que se criou ante nós! Aqui quem fala é mais um sobrevivente.,0
