text,hate_speech
'Vamos cortar os gastos publicos Vamos cortar todos os funcionarios de confianca indicados por politicos Vamos cortar todos os funcionarios de alto escalao indicados pelo governo sem concurso publicos e sem capacitacao tecnica adequada Vamos cortar a quantidade de politicos',0
Essa mulher é muito burra,1
'Denuncias nao enche barriga precisa fazer valer',0
"Juande está voltando para casa!
Boloni está voltando para casa!
Taison permite que você esteja na Ucrânia!
Os investidores estão vindo para o norte!",1
"Tô com uma vontade (bem grande) de mandar a atual dá minha ex ir se fuder!!!
*O que ela quer ficar me encarando*",0
"meu tio diz que eu sou brega, só porque curto umas músicas antigas",0
#DiaDaMulher e não dia das putas aborteiras....,1
'Tem que cuidar para que esta bandida nao venda infirmacoes sensiveis do Brasil',1
'Sonha boneca',1
"feliz dia das mães para mães de verdade
#NaoAoAbortion",1
@carlos_jb_paz apenas constatação de uma fuga aNunciada ;),0
@editorahumanas deixou sair o filho o feminismo nao ajuda mais... SO AJUDA pra praticar o aborto...depois q ja te _ https://t.co/r7yyJ77Imb,0
"RT @JOAQUINVOLTOU: DESCONSTRUINDO O GÊNERO CACHORRO
https://t.co/LZLxHKzqVy https://t.co/0DXrooVPCC",0
"RT @Justiceiro_Sujo: Eu acho que se o Movimento Negro realmente tiver humildade e seriedade com o próprio movimento, o MÍNIMO que devem faz _",0
e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf,1
fon_sequinha Essa mulher tola eu vou te contar amanhã,1
"Eu tomo minhas decisões amplamente embasado em dados coletadas e todos sabem. Alguns jornais de NOTÍCIAS FALSAS, pr _ https://t.co/Xug8AiwJOd",0
Mulher é um parque de diversões. A começar pelo humor: uma montanha-russa.,1
"Dois testemunhos! Consequência: Volte para sua casa, faça uma boa viagem!
# Imigração invasiva #Islam
realDonaldTrump https://t.co/WYmvIUCiM5",1
PARABÉNS PRESIDENTE EDUARDO CUNHA,0
eu prezo a igualdade de gênero e não femimimismo,0
@FatimaRD o Santana é que os topa!,0
"RT @pauloap: Ter dó de traficantes e estupradores se matando dentro da cadeia? Gente honesta tem dó das vítimas, isso sim.",0
"Conexão com um homem gordo: ""AND AE FAT, BORA LUNCH ??"" ""BORA, VAMOS ACABAR COM O DIREITO AQUI""",1
"Enciclopédia @homemdeverdade: Futebol = hora santa, churrasco, cerveja gelada, não gosto! mulheres no shopping!",1
'Vinicius Moraes posso te chamar de Naldo  Eh mais adequado kkkkkk',0
'GUILHERME SEU IDIOTA',1
Burra e a mulher que se iludida achando que ele vai larga a Fiel por puta ! ,1
Com quantos centímetros se destrói uma feminista?,1
'De tanto falarem em cheirinho perderam o olfato Rsrs',0
RT @leumaS_amiL: 20 anos a Odebrecht pagou propina às FARC. https://t.co/f5oGGK7eo9,0
'Lateral direito dois zagueiros e um atacante ja resolve grande parte dos problemas do Cruzeiro',0
'o Brasil ta quebrado e temer esta emprestando  bilhoes ao FMI',0
"Censura sofre a gente no Facebook e Twitter caindo sem parar. Bem feito, foi tarde! https://t.co/HtkjDfCJZm",0
pq é q ha fufas em Almeirim e eu nunca soube,1
"Mulheres do Rio, vamos aproximar as meninas da ciência? <3 
Inscrições online: https://t.co/TQVI99Qd53 https://t.co/gyahfEwjkR",0
tem gente que não aceita que branco tbm sofre preconceito e acha que só os negros sofrem sendo q tem negro q fala mal de branco aqui td dia,0
RTjoaomhenrique: Como hoje e o Benfica XI em Dortmund não tem mulher. É uma vergonha!,1
"A manifestação em frente à #FCSH. Em causa está o cancelamento da conferência de Nogueira Pinto na universidade
https://t.co/ff3vSFVnEU",0
"A corrida pela liderança do CND foi obviamente ""armação"". A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv",0
'Emocionada pela morte ou pela posse',0
"A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica. 
https://t.co/uG82badvys",0
"O arranque da Tour ""Overdose de Tourette -OTR"" foi assim.
A caravana segue já dia 10 para Vila Real e dia 11 para a _ https://t.co/vkP9WZ5Sa8",0
#EscolaSemPartido. Só não vejo quem é ESQUERDOPATA .. https://t.co/reUZ58586t,1
"Teresa: eu quero ir para o quintal
todos exceto eu: * ignora *
Teresa: é um lugar de fufas
todos: BORA! 1 !!!!",1
"Como se fabrica uma mentira
https://t.co/UAFuLkptBn",0
0 respostas 0 retweets 0 curtidas,1
"Por que Schuh paga tanto por Kristen Stewart ???? Para ser sincero, acho que são muito engraçados",1
'NOS PEOCUPEMOS COM NOSSO PAIS ESTE ESTA SUJOOS OUTROSPROBLEMA DELESIGNORANTES',0
"@PauloBotelho87 ""Lutam contra instintos"", ahahahahahaha!!!!!!!! Muito retardado... vaza vai, já teve teus 15 min de fama",0
bom dia só pra quem vai votar no crivella,0
"@PauloBotelho87 Ué, vai lá machão! Leva tua mulher pra galera ver!",1
Queria saber pq todo mundo acha que eu sou sapatão,1
"RT @GABRIELPlNHEIRO: Dória diz que é esquerda aqui, admira o adorador da maconha FHC https://t.co/dCt2XtFV7Q",0
RTDilanRules: Eu simplesmente não me sinto orgulhoso dessas orelhas https://t.co/PQbszZq7iG,1
"ټ Estadio Duvido que o feminismo seja o oposto do que pede a essas amantes!
O feminismo é a porta esquerda!",1
No meu escritório só há bichas e lésbicas e a coisa mais engraçada do mundo,1
hoje a mulher é linda é amor  etc etc... amanha a mulher é vagabunda puta e burra,1
"RT @ALuizCosta: Prefeita de Calais, da direita ""moderada"" (partido de Fillon), proíbe dar comida a refugiados https://t.co/LlB8SA3v4n",1
Atualização Semanal da @WhiteHouse (Casa Branca): https://t.co/MMB4qcUzWq https://t.co/nSgM9fY7J4,0
"Bongu !!! Não admira que ""ativistas de esquerda"" estejam protestando contra o presidente #TRUMP. https://t.co/rGDze5LWHT",1
'Seriam grandes clubes afinal sempre tiveram jogadores nacionais que fizeram historia',0
RT @jmpub: Pronto! Já está escolhido o candidato.. Imagem do presidente do partido.. Lol https://t.co/Wws2zBEjYa,0
"RT @taniaoliveira_: Face da desumanidade, ganância,  cinismo, movimentam -se pela volta das mamatas, roubalheira, sem vergonhas, anti patri _",0
"RT @imztiffany: Taeyeon-Jilma
-Líder do país
-Eu tenho muito ódio
-plástico
-Banco
- Apaixonado por Aécio
-Todas as mães
-Seu favorito é s_",1
"@gabrisinhas @LeoLimaDuarte pois é, to muito ocupada denunciando racista q acha que a vida é fácil",0
Olha o processinho na pistoleira https://t.co/xBgiow0dcj,0
"`` Martin Sales pare de ser um idiota agora, ninguém pode discordar do medo de que a morte só será neste país, mesmo que o pobre animal defenda o que é certo ''",1
Kemilly gordo e feio mata https://t.co/lJWUQ55utL,1
pra mim o dia da mulher era dia 8 de maio shdjdk ache a burra,1
@Sidneycarv @Pontifex_pt Mulçumanos matam cristãos e ele não fala nada. Defende a ida de refugiados mulçumanos para a Europa.,1
"નહીં prylliimaa Querido, não, você é um tolo ao dizer que uma mulher só trabalha para limpar a casa e cuidar de seu filho.",1
'Cade Sergio moro podia pegar essa de sobremesa ',0
@Senor_Thompson eu tive um galo que quando ficava azul trazia bom tempo.,0
grosso e feio,1
'AVANTE  MEDIDAS o Brasil clama por elas pra cima dos corruptos Cadeia neles',0
@InesBolsonaro Feminismo é uma manobra de esquerda. Nunca vi nenhuma feminista reclamando de entrar para o exército https://t.co/FRudxMT0Gj,1
"Um a cada DOIS DIAS, um absurdo total!! Já a imprensa prefere fazer carinha de nojo para Trump... https://t.co/VqqOMv0lqN",0
@ajulysantos Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk,0
"Mãe desiste eu sou gorda e feia e ñ há volta a dar e se não gostas lembra-te q foste tu q fizeste mal o trabalho, aceita q dói menos",1
"“É mínimo e muito bom mesmo no Norte ou Nordeste, não funciona vive com um bom trabalho salário-família, então é uma votação em equipe”.",1
"RT @SodeboAbrazil: Segundo Esquerda de plantão, a pior recessão da história com PIB negativo nos últimos 2 anos é culpa de 8 meses G_",1
'Nao contratava mais medalhao o flamengo so gasta e gasta tendo os garotos da base',0
"RT @reacamorena: Vai que ela trabalha com isso também,  né? Por isso, greve geral... https://t.co/2j8LtNBRxF",0
"Qndo falo ""ir em mulher"" me refiro a meter a rola nela https://t.co/zyNjrvGlJy",1
'era de se esperarnao adianta perguntareles nao vao falar dos  milhoes do srra',0
"“Quero ver Abel brucututraina, e esse time de bonecos não vai funcionar”",1
'Aproveita e deixa essa capivara por ai',1
"@lara_gomesss maravilhoso, corpao, fico mal quando vejo que seu nome é gordo / feio no tl uau uau, eu queria ser gorda / feia q nem você",1
RT @miikaa_assis: ao instalar sapatos mt em um par correto,1
"""Passei por sua esposa e deixei meu g o z a d a""",1
"A outra lá fica de cara feia. Aí se abre toda com a droga do sertanejo. Mulher burra, viu? #bbb17",1
snnjess ressalta que eu nunca pedi nada a você.,1
"RT @pdevechi: Pq as aspas, seus bundas? https://t.co/EXTeDb5CCO",0
"@CarlosArremedo @castorscs eu sou, tô aqui trabalhando ao invés de fazer baderna",0
@bielvolei @ paullinh4 Basta visitar o grupo Rexona por alguns minutos para ver que não seria uma surpresa se eles gritassem,1
'Alvaro e isso   A nossa arma e o voto  O problema e que o povo na sua maioria nao tem instrucao Nao estudou a historia do Brasil',0
'agora e do setor eletrico que ninguem quer investigar',0
100% confirmaram que aquele de que falei é sapatão,1
"Que eu saiba, condição básica pra comprar casa é ter dinheiro. E pra isso precisa trabalhar. Se ficar acampado aí n _ https://t.co/V8kdwCzAb8",0
RT @Chris_Branco: Para @JOAQUINVOLTOU com amor. https://t.co/L1VRSXkIYe,0
"o que adianta vc dizer que sente pena e não consegue refutar uma só linha do que falo????
Isso é uma tática para o _ https://t.co/sZT99syPKl",0
Significado das minhas tatuagens: significa q são tatuagens. Fim. https://t.co/kf6mZJHXy0,0
Os bons ladrões são os bandidos que são dilacerados pelos dinossauros,1
"Um novo dia é uma página em branco na sua vida. 
Escreva apenas o que vale a pena. 
Bom dia! https://t.co/7929FzzDuc",0
'Mas ele so pipoca quando a coisa aperta sempre foi assim',0
"O que há de errado em dizer que uma mulher é uma mulher e um homem é um homem ... por que tanta histeria?
Rapazes então podcast da Agenda do Guy _ https://t.co/uYcKe0GH70",1
#i5gornascimento @i5gornascimento g1 União Europeia ameaça com sanções países que não recebem refugiados https://t.co/k6rWtSAqMx,0
"@wesley_alcapone parece q teve uma ae, mas não em SP",0
"e nem precisa ser macho pra postar/pensar dessa forma, tem muita mulher assim também *ache a burra*",1
RT @ezvenus_: Incrível a facilidade que sapatao tem pra namorar,1
@HAndreSilva @ t4keshy Não há fuffs aqui.,1
"MAIS UM CASO DE CARECAFOBIA.
ATÉ QUANDO? https://t.co/MvBRhsd532",0
HAndreSilva @ t4keshy Não há ilusão aqui.,1
"Já me sinto muito feia e gorda, as pessoas chegam e falam pra mim ""tu és muito bonita mas tu és gorda""
Me dê um fdp
# اسکانامیا",1
"e foi criado um novo termo ""nudez intelectual""....a mesma que acontece quando voce ta cagando pelado antes do banho _ https://t.co/nKenb2q48v",0
Fui à praia hj voltei neguinha rsrsrs,1
"RT @imjustkiff: fufas ainda usam o argumento msm
""gosta de mais buceta do que você""",1
"""Você sabe o que ele tem mais do que nós. Ele tem mais e QSF.""",1
Talvez as milhões de pessoas que votaram pra TORNAR A AMÉRICA GRANDE NOVAMENTE deveriam ter tido o próprio comício. _ https://t.co/x0fM7UNewA,0
'Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos ',0
Wa Fufas está ficando um pouco maior,1
'Traz ele de volta e deixa ele escolher o tecnico ',0
'Lizzie come bosta',1
A @crfjaque prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _ https://t.co/W67nzOsYsn,0
IMAGINA SE EU VOU DEIXAR DE VER AQUELES BELOS RABOS NA REDE TV PRA VER O OSCAR: BANDO DE ACTOR BABACA QUERENDO 'LACRA' CONTRA O TRUMP.,1
RT @silvab_: @ angelinhaB2000 incubatório incubatório,1
Homens não percebem vernizes femininos,1
"Ser amante de homi fodido é ser burra duas vezes! - Pepita, Mulher",1
"RT @AstoonHabbo: Ao passar pelo acampamento da Disney, só vejo como é gordo e feio quando não tenho dinheiro.",1
É somente sofrendo em sua pele de cobra que esta gangue sentirá um verdadeiro socialismo / comunismo. Não existe tal coisa na mente de sua anta.,1
Ouvindo musicas dyke,1
"RT @RafaelWinterS_: @marisa_lobo tenho 22 anos e desde que me entendo por gente, existem estas mesmas reclamações sobre o SUS, nunca foi bo _",0
@JaunsVloame essa é a mina do bbb que mandou o cara botar leitão quente na boca dela,0
"RT @miidulo: Queria avisar as minhas amigas que a escola inteira conhece a gente como ""grupo de sapatão e viado"" como eu sei disso? Falaram _",1
RT @antonutchi: O @Justiceiro_Sujo apenas está mostrando que pagar de politicamente correto na internet é apenas uma MODINHA. Amo essa @,0
'Ficou mal ela ser recebida pelo presidente do Uruguai Fora de padrao',0
as fufas celebram o dia das mulheres?,1
"#SerMulherÉ baseado em chicotadas, usar burca, ser espancada legalmente pelo marido, não poder dirigir e assim por diante.",1
"@CaioPerez2 Mano tô rachando o angola, falando que não quer pega a Maria Rita! Kakakaka Se acredita",0
DISTRIBUÍ NO PROTESTO ONTEM KKKK A CULPA NÃO É MINHA HEIN http://t.co/at193MaRgK,0
Tinha que ser preto (sem objeção)))),1
"Eu uso o exame de TEE para TESE, quero responder as questões e ligar para DELICIOUS, em um antigo #JoaquinResponde https://t.co/lPfxxQzYsMD",1
"""Deus criou a mulher de uma costela, de um osso torto. Se procurares endireitá-la, quebrará. Tenham pois paciência c elas."" #MulherDeVerdade",1
